epoch,train_node_loss,train_net_loss,val_node_loss,val_net_loss,gpu_peak_memory
0,352.17086029052734,671.2415893554687,169.0682830810547,530.1847534179688,12411.34375
1,331.98084259033203,636.3461791992188,157.76641845703125,501.1459045410156,22133.8583984375
2,312.0127639770508,602.4825927734375,146.9522247314453,469.1785888671875,22133.650390625
3,295.102001953125,567.0027404785156,136.43228149414062,434.7997741699219,22133.6298828125
4,277.24317626953126,526.806298828125,125.7965087890625,396.6234436035156,22133.5595703125
5,256.0418991088867,481.6567016601563,115.93804168701172,354.5435485839844,22133.65625
6,238.78777770996095,433.09267272949216,106.59769439697266,310.0979309082031,22133.5478515625
7,218.00165710449218,385.2369415283203,99.54444122314453,262.470703125,22133.5537109375
8,199.5701919555664,326.4397247314453,95.14007568359375,215.18519592285156,22133.62109375
9,181.2984130859375,274.26126251220705,94.27478790283203,168.7759246826172,22133.4921875
10,168.69914932250975,223.51162338256836,97.00188446044922,127.98978424072266,22133.5361328125
11,160.23486251831054,170.94049224853515,103.14767456054688,97.0367431640625,22133.5654296875
12,156.2295715332031,139.75828018188477,111.52273559570312,75.1131591796875,22133.486328125
13,152.42081680297852,109.93792190551758,118.2507553100586,65.59983825683594,22133.662109375
14,152.2859344482422,99.02703094482422,123.24568939208984,65.31339263916016,22133.8115234375
15,152.78168106079102,90.33071403503418,125.60575866699219,69.12134552001953,22133.556640625
16,153.17703552246093,91.1486717224121,126.1028823852539,72.8920669555664,22133.662109375
17,153.49644088745117,92.5003776550293,123.06720733642578,74.74563598632812,22133.826171875
18,152.97236099243165,93.20672454833985,120.84273529052734,74.57611083984375,22133.7646484375
19,152.55813064575196,93.03497619628907,120.33580017089844,71.14298248291016,22133.4248046875
20,152.67906188964844,91.5952278137207,120.59983825683594,69.12767791748047,22133.66796875
21,152.56107177734376,91.48738403320313,119.27163696289062,68.37818145751953,22133.5654296875
22,152.5949279785156,93.5153823852539,117.53418731689453,65.14788818359375,22133.59765625
23,152.92067794799806,91.78295783996582,120.05799865722656,66.72840881347656,22133.6708984375
24,152.51034774780274,92.87002258300781,118.9256591796875,69.80625915527344,22133.5625
25,153.29645767211915,91.67666015625,116.02593231201172,68.79579162597656,22133.6181640625
26,152.79495086669922,91.5506820678711,115.57711029052734,68.20103454589844,22133.55078125
27,152.38079071044922,91.5821403503418,116.67805480957031,67.65257263183594,22133.421875
28,152.45798263549804,91.51094818115234,117.35899353027344,67.40373992919922,22133.65625
29,152.23740463256837,91.61519393920898,119.55017852783203,66.93277740478516,22133.80859375
30,152.85246810913085,91.37614212036132,123.72631072998047,67.27217864990234,22133.6708984375
31,152.75536422729493,91.35644149780273,121.7674331665039,68.13098907470703,22133.3896484375
32,152.52275695800782,91.3868911743164,120.48992156982422,68.91839599609375,22133.5302734375
33,152.34412689208983,91.27256469726562,120.05169677734375,68.56671142578125,22133.5625
34,152.8341438293457,91.44190368652343,117.25831604003906,67.52483367919922,22133.59765625
35,152.18051528930664,91.32653503417968,118.6278076171875,67.68455505371094,22133.580078125
36,152.41940155029297,91.211376953125,118.45751953125,68.1306381225586,22133.591796875
37,152.24824981689454,91.59649200439453,120.38114166259766,68.88358306884766,22133.4775390625
38,152.13955001831056,91.2045066833496,118.85787963867188,68.52273559570312,22133.22265625
39,151.93022842407225,92.26983642578125,117.2934799194336,66.19956970214844,22133.5830078125
40,152.9883689880371,91.09103202819824,122.12329864501953,66.84307861328125,22133.8232421875
41,152.51681900024414,91.14284324645996,117.36736297607422,66.70149993896484,22133.8203125
42,152.25301284790038,91.47707290649414,118.9330062866211,68.92474365234375,22133.5625
43,151.7712387084961,91.09018936157227,115.93097686767578,69.75170135498047,22133.57421875
44,154.48273849487305,91.27222442626953,114.21781158447266,68.12382507324219,22133.5595703125
45,150.6135353088379,91.13508911132813,121.55439758300781,69.14153289794922,22133.6708984375
46,153.14106826782228,91.43593521118164,125.25727081298828,69.76943969726562,22133.544921875
47,152.47383651733398,90.96172485351562,124.0270004272461,68.61038208007812,22133.59765625
48,153.30559921264648,90.75512466430663,119.17378997802734,66.99168395996094,22133.7529296875
49,152.10542831420898,90.915083694458,118.48103332519531,67.66891479492188,22133.6181640625
50,152.0579864501953,91.34231910705566,119.27995300292969,67.74117279052734,22133.615234375
51,152.7024124145508,90.62259025573731,116.4803466796875,67.66614532470703,22133.755859375
52,151.89765243530275,91.31585464477538,117.97257995605469,69.59712219238281,22133.744140625
53,151.76076736450196,90.82342071533203,118.90970611572266,69.17202758789062,22133.8583984375
54,151.60029220581055,90.34791641235351,118.63168334960938,68.87171936035156,22133.6416015625
55,152.38450393676757,90.18897933959961,115.49567413330078,68.33676147460938,22133.4833984375
56,152.22704467773437,90.18581161499023,114.86328125,68.39098358154297,22133.6240234375
57,150.8700408935547,90.18052291870117,119.67656707763672,69.12545776367188,22133.6123046875
58,151.27932891845703,90.49889907836913,120.94725036621094,70.15730285644531,22133.720703125
59,150.82141342163087,90.05071563720703,119.36567687988281,69.27181243896484,22133.7646484375
60,151.65779037475585,90.93727645874023,118.20614624023438,67.72211456298828,22133.5771484375
61,150.77108154296874,90.00556030273438,120.33317565917969,67.407958984375,22133.4892578125
62,151.96064529418945,90.02780532836914,123.9122314453125,68.72877502441406,22133.62109375
63,150.11930923461915,89.78178253173829,119.01221466064453,68.0933837890625,22133.416015625
64,150.6043914794922,91.273583984375,119.92866516113281,67.73750305175781,22133.7236328125
65,150.52942657470703,89.4979965209961,117.07225036621094,70.22937774658203,22133.5478515625
66,149.98845138549805,90.36752319335938,118.63488006591797,70.98554229736328,22133.55078125
67,150.6592056274414,89.89409637451172,119.08496856689453,69.49427795410156,22133.73828125
68,150.9048698425293,90.24859466552735,128.28578186035156,68.1958999633789,22133.609375
69,151.03834075927733,89.5316650390625,125.32009887695312,68.49742126464844,22133.6357421875
70,148.86090393066405,90.13966636657715,119.817626953125,66.54885864257812,22133.59765625
71,153.89517517089843,89.60213966369629,114.16681671142578,66.83575439453125,22133.533203125
72,148.95500259399415,88.73952522277833,123.53224182128906,69.50211334228516,22133.626953125
73,149.80579681396483,89.48235549926758,121.57649230957031,69.95604705810547,22133.7763671875
74,149.77325286865235,89.14452819824218,117.04740905761719,68.17208099365234,22133.6943359375
75,149.7190254211426,88.90147743225097,116.40862274169922,67.70650482177734,22133.8935546875
76,148.00860671997071,88.68221473693848,122.6994400024414,68.5660629272461,22133.5947265625
77,149.13529434204102,88.55621337890625,123.69549560546875,67.93891143798828,22133.5830078125
78,148.38000411987304,88.34666519165039,120.93795776367188,69.32411193847656,22133.873046875
79,150.84929351806642,88.68381271362304,116.43816375732422,67.17018127441406,22133.685546875
80,149.84219512939453,90.76329879760742,130.17308044433594,74.62674713134766,22133.5009765625
81,149.3914993286133,89.5701889038086,122.1801986694336,69.99161529541016,22133.90234375
82,148.41876754760742,88.91725082397461,117.30687713623047,67.03500366210938,22133.685546875
83,148.0069152832031,89.12445182800293,119.35871887207031,68.66976165771484,22133.69140625
84,151.0631187438965,89.18864669799805,129.53541564941406,70.35302734375,22133.5625
85,148.45239639282227,89.58942108154297,118.02750396728516,66.5965347290039,22133.4658203125
86,147.01848907470702,89.23030548095703,116.54908752441406,69.72380828857422,22133.3720703125
87,147.71127319335938,88.03363075256348,119.34425354003906,69.34153747558594,22133.4541015625
88,148.5370018005371,88.02271270751953,127.9547348022461,70.44844818115234,22133.638671875
89,146.9643867492676,87.86533966064454,124.3111801147461,67.46158599853516,22133.5126953125
90,146.270516204834,88.65473976135254,117.83340454101562,66.78451538085938,22133.62109375
91,145.90345001220703,86.66038856506347,120.4451675415039,70.88750457763672,22133.7236328125
92,145.83071517944336,87.50465316772461,122.49139404296875,71.0908203125,22133.732421875
93,145.78865280151368,87.19137458801269,121.49552917480469,68.42198944091797,22133.7294921875
94,144.26279678344727,86.43527030944824,126.93102264404297,70.35355377197266,22133.603515625
95,144.33074874877929,87.0851547241211,123.00619506835938,67.7781753540039,22133.720703125
96,146.91929473876954,88.41832809448242,130.13037109375,72.59427642822266,22133.6181640625
97,146.2536361694336,87.51855926513672,130.92372131347656,70.29367065429688,22133.591796875
98,146.95267181396486,85.91305007934571,108.16011047363281,68.05806732177734,22133.591796875
99,144.9197967529297,88.5385841369629,130.37045288085938,72.85037231445312,22133.919921875
