epoch,train_node_loss,train_net_loss,val_node_loss,val_net_loss,gpu_peak_memory
0,355.8720993041992,670.1104125976562,163.5480499267578,507.9690246582031,7701.3720703125
1,294.8039352416992,571.1328674316406,110.67662048339844,347.1938781738281,13419.2841796875
2,189.99051971435546,322.37599792480466,110.88816833496094,122.2364273071289,13419.1357421875
3,157.2858459472656,134.202543258667,152.05458068847656,67.43370056152344,13419.2255859375
4,160.54978103637694,101.15291748046874,143.8268585205078,71.26419067382812,13419.1962890625
5,154.37392654418946,102.35490570068359,112.29554748535156,121.22151184082031,13419.2041015625
6,164.12809219360352,106.89618072509765,100.44708251953125,70.15412139892578,13419.1708984375
7,157.9108123779297,94.1177764892578,109.73290252685547,64.6078109741211,13419.1572265625
8,152.79374084472656,93.66253852844238,115.52030181884766,65.16411590576172,13419.2568359375
9,156.60842208862306,95.47804794311523,136.1597900390625,76.7015380859375,13419.3115234375
10,155.6280143737793,93.20447082519532,133.68832397460938,67.83203125,13419.1240234375
11,153.962313079834,93.62019653320313,118.87274932861328,65.09553527832031,13419.0400390625
12,152.6169746398926,92.01947898864746,114.74160766601562,67.46082305908203,13419.2509765625
13,153.56222534179688,93.88020782470703,117.23591613769531,73.39561462402344,13419.0732421875
14,154.1848030090332,92.29510116577148,119.25765228271484,70.74352264404297,13419.2236328125
15,152.7203826904297,93.24009552001954,117.88849639892578,65.96116638183594,13419.1083984375
16,152.9143409729004,91.5003776550293,118.55773162841797,66.4177017211914,13419.1923828125
17,154.13090286254882,91.5402114868164,110.96720123291016,67.39801788330078,13419.2236328125
18,153.45534973144532,94.32586822509765,116.1983642578125,75.55502319335938,13419.1142578125
19,152.8216812133789,93.36842193603516,116.31237030029297,68.49147033691406,13419.1845703125
20,152.54760665893554,91.23151397705078,119.16938781738281,67.95030212402344,13419.3095703125
21,154.37632904052734,92.85842399597168,116.45179748535156,64.54326629638672,13419.1279296875
22,152.25380096435546,95.2143455505371,122.63772583007812,70.48554992675781,13419.3076171875
23,154.4367774963379,91.78967895507813,129.37271118164062,70.48827362060547,13419.3134765625
24,153.3538459777832,91.45636978149415,126.94146728515625,67.2068099975586,13419.3837890625
25,153.48562545776366,95.68828887939453,110.9269027709961,63.97434616088867,13419.0830078125
