function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6.7e-06,9.5e-06
"('_collections_abc.py', 664, '__contains__')",8,4.7e-06,1.46e-05
"('functools.py', 404, '__get__')",2,1.8900000000000002e-05,2.1000000000000002e-05
"('__init__.py', 47, 'create_string_buffer')",2,5.4300000000000005e-05,5.6500000000000005e-05
"('_weakrefset.py', 16, '__init__')",4,4.3e-06,4.3e-06
"('_weakrefset.py', 20, '__enter__')",4,8.8e-06,1.1000000000000001e-05
"('_weakrefset.py', 26, '__exit__')",4,7.9e-06,1.18e-05
"('_weakrefset.py', 52, '_commit_removals')",4,2.7e-06,2.7e-06
"('_weakrefset.py', 58, '__iter__')",6,1.81e-05,4.52e-05
"('_weakrefset.py', 81, 'add')",2,9e-06,1.8500000000000002e-05
"('_weakrefset.py', 106, 'remove')",2,7.5e-06,2.82e-05
"('threading.py', 513, 'is_set')",2,1.4000000000000001e-06,1.4000000000000001e-06
"('_compile.py', 9, 'is_compiling')",336,0.0006206,0.0006206
"('_tensor.py', 429, 'backward')",3,4.83e-05,30.32994
"('_tensor.py', 906, '__iter__')",4,1.5700000000000002e-05,0.00010360000000000001
"('_tensor.py', 928, '__hash__')",246,4.6800000000000006e-05,7.280000000000001e-05
"('__init__.py', 78, '_is_compiled')",3,3.9e-06,6.6e-06
"('__init__.py', 82, 'is_available')",3,8.5e-06,1.94e-05
"('functional.py', 45, 'broadcast_tensors')",8,9.59e-05,0.00021040000000000002
"('__init__.py', 31, '__get__')",24,2.4e-05,5.27e-05
"('module.py', 1188, '_call_impl')",432,0.3534063,20.791479600000002
"('module.py', 1256, '__getattr__')",580,0.0016480000000000002,0.0016480000000000002
"('linear.py', 113, 'forward')",152,0.0014140000000000001,3.5584448
"('functional.py', 1446, 'relu')",24,0.00014120000000000002,0.3582436
"('functional.py', 1618, 'leaky_relu')",64,0.00039810000000000003,3.4220391
"('functional.py', 2500, 'layer_norm')",24,0.0002793,1.2245599
"('functional.py', 3264, 'mse_loss')",8,0.0001082,0.008320300000000001
"('_VF.py', 26, '__getattr__')",8,1.16e-05,2e-05
"('_reduction.py', 7, 'get_enum')",8,1.3000000000000001e-05,1.3000000000000001e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001451,0.0001451
"('activation.py', 101, 'forward')",24,0.0001292,0.35837280000000005
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0031223,0.0031223
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004158,0.0004158
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,2.8700000000000003e-05,2.8700000000000003e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,4.800000000000001e-06,4.800000000000001e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001281,0.0001281
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,3.7300000000000005e-05,3.7300000000000005e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.3e-06,2.3e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,3.5000000000000004e-06,3.5000000000000004e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,4.3e-06,4.3e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.00022190000000000003,0.00022190000000000003
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.000386,0.000386
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.57e-05,2.57e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,7.82e-05,7.82e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0006735,0.0006735
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0016267,0.0016267
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0027145000000000003,0.0027145000000000003
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0013437000000000002,0.0013437000000000002
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0012071,0.0012071
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.00026020000000000004,0.00026020000000000004
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0008957,0.0008957
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.7422310000000001,0.7422310000000001
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.0041042000000000006,0.0041042000000000006
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.0055288,0.0055288
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.0036504000000000003,0.0036504000000000003
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.5708635000000001,0.5708635000000001
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,3.4209813000000002,3.4209813000000002
"('~', 0, ""<method 'scatter_reduce_' of 'torch._C._TensorBase' objects>"")",8,0.7770978000000001,0.7770978000000001
"('~', 0, ""<method 'sqrt' of 'torch._C._TensorBase' objects>"")",246,0.0010747,0.0010747
"('~', 0, ""<method 'unbind' of 'torch._C._TensorBase' objects>"")",4,7.560000000000001e-05,7.560000000000001e-05
"('~', 0, ""<method 'view' of 'torch._C._TensorBase' objects>"")",120,0.0029461,0.0029461
"('~', 0, ""<method 'zero_' of 'torch._C._TensorBase' objects>"")",246,0.0003012,0.0003012
"('~', 0, '<built-in method torch.concat>')",44,1.1232813000000001,1.1232813000000001
"('~', 0, '<built-in method torch.rand>')",4,0.0670462,0.0670462
"('~', 0, '<built-in method torch.zeros>')",6,0.00016250000000000002,0.00016250000000000002
"('~', 0, '<built-in method torch.is_complex>')",246,0.0001426,0.0001426
"('~', 0, '<built-in method torch.ones_like>')",3,4.0600000000000004e-05,4.0600000000000004e-05
