function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6.300000000000001e-06,8.3e-06
"('_collections_abc.py', 664, '__contains__')",8,5.2e-06,1.22e-05
"('functools.py', 404, '__get__')",2,1.2400000000000002e-05,1.4400000000000001e-05
"('__init__.py', 47, 'create_string_buffer')",2,4.39e-05,4.58e-05
"('_weakrefset.py', 16, '__init__')",4,5.7000000000000005e-06,5.7000000000000005e-06
"('_weakrefset.py', 20, '__enter__')",4,1.13e-05,1.4200000000000001e-05
"('_weakrefset.py', 26, '__exit__')",4,1.0700000000000001e-05,1.4900000000000001e-05
"('_weakrefset.py', 52, '_commit_removals')",4,2.9e-06,2.9e-06
"('_weakrefset.py', 58, '__iter__')",6,1.94e-05,5.42e-05
"('_weakrefset.py', 81, 'add')",2,7.6e-06,1.36e-05
"('_weakrefset.py', 106, 'remove')",2,8.3e-06,3.07e-05
"('threading.py', 513, 'is_set')",2,1.0000000000000002e-06,1.0000000000000002e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004819,0.0004819
"('_tensor.py', 429, 'backward')",3,4.47e-05,31.5314374
"('_tensor.py', 906, '__iter__')",4,1.83e-05,0.00011150000000000001
"('_tensor.py', 928, '__hash__')",246,4.5e-05,6.86e-05
"('__init__.py', 78, '_is_compiled')",3,2.5e-06,5.3e-06
"('__init__.py', 82, 'is_available')",3,6.7e-06,1.56e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.00013110000000000002,0.00028010000000000003
"('__init__.py', 31, '__get__')",24,2.71e-05,5.8800000000000006e-05
"('module.py', 1188, '_call_impl')",432,0.44393780000000005,23.3581557
"('module.py', 1256, '__getattr__')",580,0.0017756,0.0017756
"('linear.py', 113, 'forward')",152,0.0014641,4.0290694
"('functional.py', 1446, 'relu')",24,0.00014680000000000002,0.44649110000000003
"('functional.py', 1618, 'leaky_relu')",64,0.0004441,4.4350201
"('functional.py', 2500, 'layer_norm')",24,0.0002921,1.4213457
"('functional.py', 3264, 'mse_loss')",8,0.0001221,0.009799200000000001
"('_VF.py', 26, '__getattr__')",8,1.97e-05,2.97e-05
"('_reduction.py', 7, 'get_enum')",8,1.23e-05,1.23e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001539,0.0001539
"('activation.py', 101, 'forward')",24,0.00015670000000000001,0.44664780000000004
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0033968,0.0033968
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.00044150000000000005,0.00044150000000000005
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.1700000000000005e-05,3.1700000000000005e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,6.300000000000001e-06,6.300000000000001e-06
