function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6e-06,7.8e-06
"('_collections_abc.py', 664, '__contains__')",8,5.1e-06,1.0700000000000001e-05
"('functools.py', 404, '__get__')",2,1.7e-05,1.93e-05
"('__init__.py', 47, 'create_string_buffer')",2,4.61e-05,4.85e-05
"('_weakrefset.py', 16, '__init__')",4,5.4e-06,5.4e-06
"('_weakrefset.py', 20, '__enter__')",4,9.2e-06,1.13e-05
"('_weakrefset.py', 26, '__exit__')",4,9.600000000000001e-06,1.39e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.1000000000000004e-06,3.1000000000000004e-06
"('_weakrefset.py', 58, '__iter__')",6,1.9200000000000003e-05,4.9800000000000004e-05
"('_weakrefset.py', 81, 'add')",2,1.01e-05,2.1300000000000003e-05
"('_weakrefset.py', 106, 'remove')",2,7.3e-06,2.6600000000000003e-05
"('threading.py', 513, 'is_set')",2,1.2000000000000002e-06,1.2000000000000002e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004994,0.0004994
"('_tensor.py', 429, 'backward')",3,5.28e-05,37.3474031
"('_tensor.py', 906, '__iter__')",4,1.6800000000000002e-05,0.00010680000000000001
"('_tensor.py', 928, '__hash__')",246,5.6000000000000006e-05,8.82e-05
"('__init__.py', 78, '_is_compiled')",3,5.1e-06,8.5e-06
"('__init__.py', 82, 'is_available')",3,9.7e-06,2.29e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.0001061,0.00022510000000000002
"('__init__.py', 31, '__get__')",24,3.08e-05,6.09e-05
"('module.py', 1188, '_call_impl')",432,0.4748915,25.760154200000002
"('module.py', 1256, '__getattr__')",580,0.0019387,0.0019387
"('linear.py', 113, 'forward')",152,0.0016397,4.2732695000000005
"('functional.py', 1446, 'relu')",24,0.0001594,0.45577930000000005
"('functional.py', 1618, 'leaky_relu')",64,0.00045480000000000005,4.4671681
"('functional.py', 2500, 'layer_norm')",24,0.00030260000000000004,1.4128739000000001
"('functional.py', 3264, 'mse_loss')",8,0.00011190000000000001,0.0092841
"('_VF.py', 26, '__getattr__')",8,1.7100000000000002e-05,2.64e-05
"('_reduction.py', 7, 'get_enum')",8,1.04e-05,1.04e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.00016490000000000002,0.00016490000000000002
"('activation.py', 101, 'forward')",24,0.00016020000000000002,0.45593950000000005
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0034938,0.0034938
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.00047430000000000004,0.00047430000000000004
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.0100000000000003e-05,3.0100000000000003e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,5.4e-06,5.4e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001406,0.0001406
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,4.0300000000000004e-05,4.0300000000000004e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.3e-06,2.3e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,4.7e-06,4.7e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,4.7e-06,4.7e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002684,0.0002684
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0004735,0.0004735
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.92e-05,2.92e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,9.06e-05,9.06e-05
