function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6.4000000000000006e-06,8.3e-06
"('_collections_abc.py', 664, '__contains__')",8,4.7e-06,1.0500000000000001e-05
"('functools.py', 404, '__get__')",2,2.01e-05,2.2000000000000003e-05
"('__init__.py', 47, 'create_string_buffer')",2,5.19e-05,5.42e-05
"('_weakrefset.py', 16, '__init__')",4,5.2e-06,5.2e-06
"('_weakrefset.py', 20, '__enter__')",4,9.7e-06,1.2e-05
"('_weakrefset.py', 26, '__exit__')",4,1.09e-05,1.55e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.4e-06,3.4e-06
"('_weakrefset.py', 58, '__iter__')",6,1.97e-05,5.2400000000000007e-05
"('_weakrefset.py', 81, 'add')",2,9.800000000000001e-06,1.72e-05
"('_weakrefset.py', 106, 'remove')",2,7.5e-06,2.6600000000000003e-05
"('threading.py', 513, 'is_set')",2,1.3e-06,1.3e-06
"('_compile.py', 9, 'is_compiling')",336,0.00043860000000000004,0.00043860000000000004
"('_tensor.py', 429, 'backward')",3,4.72e-05,29.0602707
"('_tensor.py', 906, '__iter__')",4,1.6400000000000002e-05,0.00010240000000000001
"('_tensor.py', 928, '__hash__')",246,4.36e-05,6.71e-05
"('__init__.py', 78, '_is_compiled')",3,3.4e-06,5.9e-06
"('__init__.py', 82, 'is_available')",3,8.1e-06,1.91e-05
"('functional.py', 45, 'broadcast_tensors')",8,8.94e-05,0.000199
"('__init__.py', 31, '__get__')",24,2.57e-05,5.42e-05
"('module.py', 1188, '_call_impl')",432,0.32730210000000004,19.6858708
"('module.py', 1256, '__getattr__')",580,0.0016129,0.0016129
"('linear.py', 113, 'forward')",152,0.0013776,3.4688772
"('functional.py', 1446, 'relu')",24,0.0001386,0.3301218
"('functional.py', 1618, 'leaky_relu')",64,0.0004106,3.2313276
"('functional.py', 2500, 'layer_norm')",24,0.00028000000000000003,1.1298809
"('functional.py', 3264, 'mse_loss')",8,0.0001004,0.007896700000000001
"('_VF.py', 26, '__getattr__')",8,1.56e-05,2.37e-05
"('_reduction.py', 7, 'get_enum')",8,9.100000000000001e-06,9.100000000000001e-06
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001405,0.0001405
"('activation.py', 101, 'forward')",24,0.00012460000000000002,0.3302464
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0030524000000000003,0.0030524000000000003
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004086,0.0004086
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,2.85e-05,2.85e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,4.5e-06,4.5e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.00012030000000000001,0.00012030000000000001
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,3.57e-05,3.57e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,1.9e-06,1.9e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,3.6000000000000003e-06,3.6000000000000003e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,5.1e-06,5.1e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.00021940000000000002,0.00021940000000000002
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.000369,0.000369
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.72e-05,2.72e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,5.5900000000000004e-05,5.5900000000000004e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0006429000000000001,0.0006429000000000001
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0015299,0.0015299
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0026228000000000002,0.0026228000000000002
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0012813,0.0012813
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0011163,0.0011163
