function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6.300000000000001e-06,8.3e-06
"('_collections_abc.py', 664, '__contains__')",8,6.6e-06,1.39e-05
"('functools.py', 404, '__get__')",2,1.39e-05,1.6000000000000003e-05
"('__init__.py', 47, 'create_string_buffer')",2,4.9500000000000004e-05,5.17e-05
"('_weakrefset.py', 16, '__init__')",4,5.9e-06,5.9e-06
"('_weakrefset.py', 20, '__enter__')",4,1.04e-05,1.2800000000000001e-05
"('_weakrefset.py', 26, '__exit__')",4,1.06e-05,1.5e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3e-06,3e-06
"('_weakrefset.py', 58, '__iter__')",6,2.01e-05,5.380000000000001e-05
"('_weakrefset.py', 81, 'add')",2,1.18e-05,1.81e-05
"('_weakrefset.py', 106, 'remove')",2,8.3e-06,3.21e-05
"('threading.py', 513, 'is_set')",2,3.5000000000000004e-06,3.5000000000000004e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004924,0.0004924
"('_tensor.py', 429, 'backward')",3,5.4800000000000004e-05,38.499861
"('_tensor.py', 906, '__iter__')",4,2.19e-05,0.00014230000000000002
"('_tensor.py', 928, '__hash__')",246,6.65e-05,0.0001066
"('__init__.py', 78, '_is_compiled')",3,4.800000000000001e-06,8.6e-06
"('__init__.py', 82, 'is_available')",3,1.06e-05,2.43e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.00011420000000000001,0.0002423
"('__init__.py', 31, '__get__')",24,3.0600000000000005e-05,6.41e-05
"('module.py', 1188, '_call_impl')",432,0.4688643,25.812244600000003
"('module.py', 1256, '__getattr__')",580,0.0019554,0.0019554
"('linear.py', 113, 'forward')",152,0.0015826000000000002,4.3354685
"('functional.py', 1446, 'relu')",24,0.0001543,0.49694910000000003
"('functional.py', 1618, 'leaky_relu')",64,0.00045920000000000005,4.511401
"('functional.py', 2500, 'layer_norm')",24,0.00033570000000000003,1.4957120000000002
"('functional.py', 3264, 'mse_loss')",8,0.0001166,0.0100064
"('_VF.py', 26, '__getattr__')",8,1.81e-05,2.7700000000000002e-05
"('_reduction.py', 7, 'get_enum')",8,1.1700000000000001e-05,1.1700000000000001e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.00017470000000000002,0.00017470000000000002
"('activation.py', 101, 'forward')",24,0.000153,0.49710210000000005
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0034794,0.0034794
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.000467,0.000467
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.35e-05,3.35e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,5.4e-06,5.4e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001395,0.0001395
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,4.2800000000000004e-05,4.2800000000000004e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,3.3e-06,3.3e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,5.9e-06,5.9e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,5.1e-06,5.1e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002748,0.0002748
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0005409000000000001,0.0005409000000000001
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,3.12e-05,3.12e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,0.00010200000000000001,0.00010200000000000001
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0007324,0.0007324
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0017648000000000002,0.0017648000000000002
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0039841,0.0039841
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0019278000000000001,0.0019278000000000001
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0017139000000000002,0.0017139000000000002
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.0003153,0.0003153
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.00107,0.00107
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.8695443,0.8695443
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.0047469,0.0047469
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.0081715,0.0081715
