function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,8.000000000000001e-06,1.06e-05
"('_collections_abc.py', 664, '__contains__')",8,5.500000000000001e-06,1.18e-05
"('functools.py', 404, '__get__')",2,2.5900000000000003e-05,2.82e-05
"('__init__.py', 47, 'create_string_buffer')",2,0.0105883,0.0105904
"('_weakrefset.py', 16, '__init__')",4,6.4000000000000006e-06,6.4000000000000006e-06
"('_weakrefset.py', 20, '__enter__')",4,1.32e-05,1.5300000000000003e-05
"('_weakrefset.py', 26, '__exit__')",4,1.22e-05,1.69e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.2000000000000003e-06,3.2000000000000003e-06
"('_weakrefset.py', 58, '__iter__')",6,2.2100000000000002e-05,6.0700000000000005e-05
"('_weakrefset.py', 81, 'add')",2,1.02e-05,1.7800000000000002e-05
"('_weakrefset.py', 106, 'remove')",2,8.3e-06,3.1400000000000004e-05
"('threading.py', 513, 'is_set')",2,1.6000000000000001e-06,1.6000000000000001e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004907000000000001,0.0004907000000000001
"('_tensor.py', 429, 'backward')",3,5.31e-05,36.7212595
"('_tensor.py', 906, '__iter__')",4,1.81e-05,0.00011350000000000001
"('_tensor.py', 928, '__hash__')",246,5.66e-05,8.94e-05
"('__init__.py', 78, '_is_compiled')",3,3.6000000000000003e-06,6.8e-06
"('__init__.py', 82, 'is_available')",3,8.400000000000001e-06,1.91e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.0001009,0.00022030000000000002
"('__init__.py', 31, '__get__')",24,3.23e-05,6.57e-05
"('module.py', 1188, '_call_impl')",432,0.5108022,24.958981
"('module.py', 1256, '__getattr__')",580,0.0018854000000000002,0.0018854000000000002
"('linear.py', 113, 'forward')",152,0.0015041000000000002,4.0616562
"('functional.py', 1446, 'relu')",24,0.0001675,0.44186270000000005
"('functional.py', 1618, 'leaky_relu')",64,0.00043390000000000003,4.3700725
"('functional.py', 2500, 'layer_norm')",24,0.0003303,1.4279187
"('functional.py', 3264, 'mse_loss')",8,0.0001095,0.0097771
"('_VF.py', 26, '__getattr__')",8,1.56e-05,2.5300000000000002e-05
"('_reduction.py', 7, 'get_enum')",8,1.01e-05,1.01e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001617,0.0001617
"('activation.py', 101, 'forward')",24,0.0001564,0.44201910000000005
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0033961000000000004,0.0033961000000000004
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004515,0.0004515
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.34e-05,3.34e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,4.4e-06,4.4e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.00013680000000000002,0.00013680000000000002
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,4.16e-05,4.16e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.7e-06,2.7e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,4.800000000000001e-06,4.800000000000001e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,3.9e-06,3.9e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.000257,0.000257
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.00047280000000000005,0.00047280000000000005
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.9400000000000003e-05,2.9400000000000003e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,8.43e-05,8.43e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0007449000000000001,0.0007449000000000001
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0017009000000000002,0.0017009000000000002
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0034731000000000002,0.0034731000000000002
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0016909000000000002,0.0016909000000000002
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0014880000000000002,0.0014880000000000002
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.0003128,0.0003128
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0010115,0.0010115
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.8457572000000001,0.8457572000000001
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.004566300000000001,0.004566300000000001
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.0070432,0.0070432
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.0044025,0.0044025
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.6745933000000001,0.6745933000000001
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,3.8125594,3.8125594
"('~', 0, ""<method 'scatter_reduce_' of 'torch._C._TensorBase' objects>"")",8,0.9538867000000001,0.9538867000000001
"('~', 0, ""<method 'sqrt' of 'torch._C._TensorBase' objects>"")",246,0.0013336,0.0013336
"('~', 0, ""<method 'unbind' of 'torch._C._TensorBase' objects>"")",4,8.560000000000001e-05,8.560000000000001e-05
"('~', 0, ""<method 'view' of 'torch._C._TensorBase' objects>"")",120,0.0034077,0.0034077
"('~', 0, ""<method 'zero_' of 'torch._C._TensorBase' objects>"")",246,0.000308,0.000308
"('~', 0, '<built-in method torch.concat>')",44,1.2647231,1.2647231
"('~', 0, '<built-in method torch.rand>')",4,0.0817489,0.0817489
"('~', 0, '<built-in method torch.zeros>')",6,0.0001878,0.0001878
"('~', 0, '<built-in method torch.is_complex>')",246,0.00018710000000000002,0.00018710000000000002
"('~', 0, '<built-in method torch.ones_like>')",3,4.7300000000000005e-05,4.7300000000000005e-05
"('~', 0, '<built-in method torch.squeeze>')",8,0.0002099,0.0002099
"('~', 0, '<built-in method torch.broadcast_tensors>')",8,8.970000000000001e-05,8.970000000000001e-05
"('~', 0, '<built-in method torch.layer_norm>')",24,1.4274881000000001,1.4274881000000001
"('~', 0, '<built-in method torch.relu>')",24,0.44165800000000005,0.44165800000000005
"('~', 0, '<built-in method torch._C._are_functorch_transforms_active>')",3,1.25e-05,1.25e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_exit>')",6,7.76e-05,7.76e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_enter>')",6,0.0001586,0.0001586
"('activation.py', 774, 'forward')",32,0.0001731,0.6697822
"('loss.py', 535, 'forward')",8,4.7000000000000004e-05,0.0098241
"('container.py', 194, '__iter__')",80,0.0003143,0.0005035
"('container.py', 202, 'forward')",80,0.2332006,4.0300172000000005
"('container.py', 268, '_get_abs_string_index')",56,0.0005637,0.0008362
"('container.py', 277, '__getitem__')",56,0.00030250000000000003,0.0012645
"('container.py', 298, '__len__')",112,7.16e-05,0.00011200000000000001
"('__init__.py', 47, '_make_grads')",3,4.4500000000000004e-05,9.960000000000001e-05
"('__init__.py', 95, '_tensor_or_tensors_to_tuple')",3,5.2e-06,5.2e-06
"('__init__.py', 103, 'backward')",3,6.050000000000001e-05,36.721204400000005
"('grad_mode.py', 24, 'decorate_context')",3,6.52e-05,0.0248827
"('grad_mode.py', 82, 'clone')",3,6.200000000000001e-06,3.21e-05
"('grad_mode.py', 126, '__init__')",3,2.47e-05,2.5900000000000003e-05
"('grad_mode.py', 131, '__enter__')",3,1.5700000000000002e-05,3.08e-05
"('grad_mode.py', 135, '__exit__')",3,1.52e-05,3.51e-05
"('grad_mode.py', 227, '__init__')",6,2.75e-05,3.29e-05
"('profiler.py', 478, '__init__')",6,3.2000000000000005e-05,0.0002198
"('profiler.py', 487, '__enter__')",6,6.560000000000001e-05,0.0002399
"('profiler.py', 491, '__exit__')",6,3.49e-05,0.0001241
"('normalization.py', 189, 'forward')",24,0.0002507,1.4282061000000001
"('optimizer.py', 98, '_cuda_graph_capture_health_check')",3,1.02e-05,2.93e-05
"('optimizer.py', 117, '_optimizer_step_code')",3,1.3e-06,1.3e-06
"('optimizer.py', 135, 'wrapper')",3,9.230000000000001e-05,0.0253027
"('optimizer.py', 246, 'zero_grad')",3,0.0005572,0.0012308
"('adamw.py', 107, 'step')",3,0.0007385,0.024719500000000002
"('adamw.py', 204, '<genexpr>')",249,6.2e-05,8.25e-05
"('adamw.py', 181, 'adamw')",3,2.25e-05,0.0237172
"('adamw.py', 235, '_single_tensor_adamw')",3,0.0078445,0.023576700000000003
"('message_passing.py', 254, '_check_input')",48,0.0005277,0.0012489
"('message_passing.py', 295, '_set_size')",96,0.00038330000000000005,0.0007340000000000001
"('message_passing.py', 309, '_index_select')",48,0.0002483,0.8462772000000001
"('message_passing.py', 315, '_index_select_safe')",48,0.0002482,0.8460054
"('message_passing.py', 608, 'aggregate')",48,0.0007806,4.1226628000000005
"('message_passing.py', 640, 'update')",48,1.7100000000000002e-05,1.7100000000000002e-05
"('base.py', 98, '__call__')",48,0.0006793000000000001,4.1203045000000005
"('base.py', 170, 'reduce')",48,0.0004039,4.1187041
"('basic.py', 19, 'forward')",48,0.00018140000000000002,4.1188855
"('_ops.py', 437, '__call__')",12,2.7300000000000003e-05,0.0002635
"('_trace.py', 1017, 'is_tracing')",96,0.0002358,0.0006999
"('_monitor.py', 94, 'report')",2,6.1e-06,7.7e-06
"('std.py', 102, 'acquire')",14,5.81e-05,0.0001166
"('std.py', 106, 'release')",14,4.8400000000000004e-05,7.400000000000001e-05
"('std.py', 110, '__enter__')",8,1.58e-05,7.71e-05
"('std.py', 113, '__exit__')",8,7.000000000000001e-06,4.21e-05
"('std.py', 153, '__init__')",8,2.1700000000000002e-05,2.85e-05
"('std.py', 163, 'colour')",8,3e-06,3e-06
