function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,8.400000000000001e-06,1.1200000000000001e-05
"('_collections_abc.py', 664, '__contains__')",8,5.7000000000000005e-06,1.1700000000000001e-05
"('functools.py', 404, '__get__')",2,1.4400000000000001e-05,1.66e-05
"('__init__.py', 47, 'create_string_buffer')",2,5.4000000000000005e-05,5.66e-05
"('_weakrefset.py', 16, '__init__')",4,5.7000000000000005e-06,5.7000000000000005e-06
"('_weakrefset.py', 20, '__enter__')",4,1.11e-05,1.3800000000000002e-05
"('_weakrefset.py', 26, '__exit__')",4,1.1700000000000001e-05,1.9200000000000003e-05
"('_weakrefset.py', 52, '_commit_removals')",4,6.1e-06,6.1e-06
"('_weakrefset.py', 58, '__iter__')",6,2.11e-05,5.9800000000000003e-05
"('_weakrefset.py', 81, 'add')",2,1.08e-05,2.19e-05
"('_weakrefset.py', 106, 'remove')",2,8.5e-06,3.2200000000000003e-05
"('threading.py', 513, 'is_set')",2,1.0000000000000002e-06,1.0000000000000002e-06
"('_compile.py', 9, 'is_compiling')",336,0.00046570000000000004,0.00046570000000000004
"('_tensor.py', 429, 'backward')",3,5.2400000000000007e-05,35.2311665
"('_tensor.py', 906, '__iter__')",4,1.79e-05,0.00012550000000000001
"('_tensor.py', 928, '__hash__')",246,6.58e-05,0.0001026
"('__init__.py', 78, '_is_compiled')",3,3.5000000000000004e-06,7.000000000000001e-06
"('__init__.py', 82, 'is_available')",3,1.0700000000000001e-05,2.2400000000000002e-05
"('functional.py', 45, 'broadcast_tensors')",8,9.680000000000001e-05,0.00021180000000000003
"('__init__.py', 31, '__get__')",24,3e-05,6.27e-05
"('module.py', 1188, '_call_impl')",432,0.504881,24.077449700000003
"('module.py', 1256, '__getattr__')",580,0.0018603,0.0018603
"('linear.py', 113, 'forward')",152,0.0015432,3.9833608000000003
"('functional.py', 1446, 'relu')",24,0.0001532,0.4155278
"('functional.py', 1618, 'leaky_relu')",64,0.0004404,4.0856263
"('functional.py', 2500, 'layer_norm')",24,0.0003232,1.3979064
"('functional.py', 3264, 'mse_loss')",8,9.580000000000001e-05,0.0085171
"('_VF.py', 26, '__getattr__')",8,1.9e-05,2.72e-05
"('_reduction.py', 7, 'get_enum')",8,9.5e-06,9.5e-06
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001687,0.0001687
"('activation.py', 101, 'forward')",24,0.0001527,0.4156805
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0034118000000000004,0.0034118000000000004
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.00045180000000000003,0.00045180000000000003
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.27e-05,3.27e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,4.5e-06,4.5e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.00013580000000000002,0.00013580000000000002
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,4.04e-05,4.04e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,3e-06,3e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,5.2e-06,5.2e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,4.7e-06,4.7e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002494,0.0002494
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0005097000000000001,0.0005097000000000001
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.6900000000000003e-05,2.6900000000000003e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,9.120000000000001e-05,9.120000000000001e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0007222000000000001,0.0007222000000000001
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0016476000000000001,0.0016476000000000001
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0036084000000000003,0.0036084000000000003
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0017385,0.0017385
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0015550000000000002,0.0015550000000000002
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.00031840000000000004,0.00031840000000000004
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0009918000000000001,0.0009918000000000001
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.8202471,0.8202471
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.0042678,0.0042678
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.007414400000000001,0.007414400000000001
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.0042879,0.0042879
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.6372786,0.6372786
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,3.6881206000000004,3.6881206000000004
"('~', 0, ""<method 'scatter_reduce_' of 'torch._C._TensorBase' objects>"")",8,0.8948265000000001,0.8948265000000001
"('~', 0, ""<method 'sqrt' of 'torch._C._TensorBase' objects>"")",246,0.0013942000000000002,0.0013942000000000002
"('~', 0, ""<method 'unbind' of 'torch._C._TensorBase' objects>"")",4,9.740000000000001e-05,9.740000000000001e-05
"('~', 0, ""<method 'view' of 'torch._C._TensorBase' objects>"")",120,0.0032813,0.0032813
"('~', 0, ""<method 'zero_' of 'torch._C._TensorBase' objects>"")",246,0.00033130000000000003,0.00033130000000000003
"('~', 0, '<built-in method torch.concat>')",44,1.2332363000000002,1.2332363000000002
"('~', 0, '<built-in method torch.rand>')",4,0.08329310000000001,0.08329310000000001
"('~', 0, '<built-in method torch.zeros>')",6,0.00019020000000000002,0.00019020000000000002
"('~', 0, '<built-in method torch.is_complex>')",246,0.0002057,0.0002057
"('~', 0, '<built-in method torch.ones_like>')",3,4.32e-05,4.32e-05
"('~', 0, '<built-in method torch.squeeze>')",8,0.0001818,0.0001818
"('~', 0, '<built-in method torch.broadcast_tensors>')",8,8.33e-05,8.33e-05
"('~', 0, '<built-in method torch.layer_norm>')",24,1.3974865,1.3974865
"('~', 0, '<built-in method torch.relu>')",24,0.41533790000000004,0.41533790000000004
"('~', 0, '<built-in method torch._C._are_functorch_transforms_active>')",3,1.16e-05,1.16e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_exit>')",6,7.02e-05,7.02e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_enter>')",6,0.0001549,0.0001549
"('activation.py', 774, 'forward')",32,0.0001874,0.5941539
"('loss.py', 535, 'forward')",8,4.1400000000000003e-05,0.0085585
"('container.py', 194, '__iter__')",80,0.00031820000000000004,0.0005042
"('container.py', 202, 'forward')",80,0.23438,3.8760376
"('container.py', 268, '_get_abs_string_index')",56,0.0005659,0.0008477000000000001
"('container.py', 277, '__getitem__')",56,0.0003233,0.001293
"('container.py', 298, '__len__')",112,6.7e-05,0.00010750000000000001
"('__init__.py', 47, '_make_grads')",3,3.76e-05,8.790000000000001e-05
"('__init__.py', 95, '_tensor_or_tensors_to_tuple')",3,4.4e-06,4.4e-06
"('__init__.py', 103, 'backward')",3,5.05e-05,35.231112100000004
"('grad_mode.py', 24, 'decorate_context')",3,7.36e-05,0.026235
"('grad_mode.py', 82, 'clone')",3,7.6e-06,3.8400000000000005e-05
"('grad_mode.py', 126, '__init__')",3,2.96e-05,3.08e-05
"('grad_mode.py', 131, '__enter__')",3,2e-05,3.83e-05
"('grad_mode.py', 135, '__exit__')",3,1.41e-05,3.1100000000000004e-05
"('grad_mode.py', 227, '__init__')",6,2.71e-05,3.29e-05
"('profiler.py', 478, '__init__')",6,3.46e-05,0.00022480000000000002
"('profiler.py', 487, '__enter__')",6,6.450000000000001e-05,0.0002357
"('profiler.py', 491, '__exit__')",6,3.47e-05,0.0001168
"('normalization.py', 189, 'forward')",24,0.0002526,1.3981949
"('optimizer.py', 98, '_cuda_graph_capture_health_check')",3,1.77e-05,4.0100000000000006e-05
"('optimizer.py', 117, '_optimizer_step_code')",3,1.3e-06,1.3e-06
"('optimizer.py', 135, 'wrapper')",3,9.56e-05,0.0266663
"('optimizer.py', 246, 'zero_grad')",3,0.0006184000000000001,0.0013054000000000002
"('adamw.py', 107, 'step')",3,0.000888,0.026053600000000003
"('adamw.py', 204, '<genexpr>')",249,7.61e-05,9.72e-05
"('adamw.py', 181, 'adamw')",3,2.2000000000000003e-05,0.024846700000000003
"('adamw.py', 235, '_single_tensor_adamw')",3,0.0082243,0.024690100000000003
"('message_passing.py', 254, '_check_input')",48,0.0005012,0.0012051000000000002
"('message_passing.py', 295, '_set_size')",96,0.0003725,0.0006908000000000001
"('message_passing.py', 309, '_index_select')",48,0.0002432,0.8207456000000001
"('message_passing.py', 315, '_index_select_safe')",48,0.0002323,0.8204794000000001
"('message_passing.py', 608, 'aggregate')",48,0.0007454,3.9787702
"('message_passing.py', 640, 'update')",48,1.6000000000000003e-05,1.6000000000000003e-05
"('base.py', 98, '__call__')",48,0.0006730000000000001,3.9764552
"('base.py', 170, 'reduce')",48,0.00037590000000000003,3.9748891000000004
"('basic.py', 19, 'forward')",48,0.0001687,3.9750578
"('_ops.py', 437, '__call__')",12,2.82e-05,0.00025330000000000003
"('_trace.py', 1017, 'is_tracing')",96,0.0002367,0.000701
"('_monitor.py', 94, 'report')",2,5.1e-06,6.1e-06
"('std.py', 102, 'acquire')",14,5.16e-05,0.00010640000000000001
"('std.py', 106, 'release')",14,6.170000000000001e-05,8.75e-05
"('std.py', 110, '__enter__')",8,1.04e-05,6.0100000000000004e-05
"('std.py', 113, '__exit__')",8,1.25e-05,5.75e-05
"('std.py', 153, '__init__')",8,2.58e-05,3.32e-05
"('std.py', 163, 'colour')",8,3.5000000000000004e-06,3.5000000000000004e-06
"('std.py', 167, 'colour')",8,7.4e-06,7.4e-06
"('std.py', 186, '__format__')",8,4.8200000000000006e-05,5.6200000000000004e-05
"('std.py', 226, '__init__')",6,4.4e-06,4.4e-06
"('std.py', 231, '__call__')",23,4.8200000000000006e-05,4.8200000000000006e-05
"('std.py', 400, 'format_interval')",14,9.5e-05,0.00010740000000000001
"('std.py', 451, 'fp_write')",8,6.500000000000001e-05,0.0015398
"('std.py', 457, 'print_status')",8,3.6700000000000004e-05,0.0021439000000000002
"('std.py', 438, 'status_printer')",2,1.16e-05,2.2400000000000002e-05
"('std.py', 464, 'format_meter')",8,0.00040130000000000005,0.0017886000000000002
"('std.py', 663, '__new__')",2,4.35e-05,0.0001337
"('std.py', 682, '<setcomp>')",2,4.4e-06,2.9400000000000003e-05
"('std.py', 679, '_get_free_pos')",2,2.0700000000000002e-05,5.42e-05
"('std.py', 686, '_decr_instances')",2,3.43e-05,0.00012130000000000001
"('std.py', 760, 'get_lock')",2,5e-06,7.3e-06
"('std.py', 952, '__init__')",2,8.620000000000001e-05,0.0023995
"('std.py', 1147, '__del__')",2,4.800000000000001e-06,1.4900000000000001e-05
"('std.py', 1150, '__str__')",8,5.8200000000000005e-05,0.0019407
"('std.py', 1153, '_comparable')",4,3.9e-06,6.4000000000000006e-06
"('std.py', 1157, '__hash__')",4,4.3e-06,7.000000000000001e-06
"('std.py', 1160, '__iter__')",6,5.08e-05,0.0041276
"('std.py', 1198, 'update')",4,8.93e-05,0.0027166
"('std.py', 1286, 'fp_write')",4,1.86e-05,0.0002718
"('std.py', 1301, '<lambda>')",2,7.000000000000001e-07,7.000000000000001e-07
"('std.py', 1265, 'close')",4,4.6500000000000005e-05,0.0013655000000000002
"('std.py', 1325, 'refresh')",6,3.97e-05,0.0033788000000000004
"('std.py', 1446, 'format_dict')",8,7.49e-05,9.39e-05
"('std.py', 1464, 'display')",8,4.6800000000000006e-05,0.004140400000000001
"('utils.py', 108, '__init__')",8,8.6e-06,8.6e-06
"('utils.py', 112, '__format__')",8,5.8e-06,5.8e-06
"('utils.py', 125, '__eq__')",2,3.8e-06,1.02e-05
"('utils.py', 139, '__getattr__')",2,2.5e-06,4.2000000000000004e-06
"('utils.py', 152, 'wrapper_setattr')",6,6.900000000000001e-06,6.900000000000001e-06
"('utils.py', 156, '__init__')",2,3.3e-06,7.5e-06
"('utils.py', 194, 'inner')",20,2.8000000000000003e-05,0.0017280000000000002
"('utils.py', 187, 'disable_on_exception')",4,7.000000000000001e-06,9.600000000000001e-06
"('utils.py', 213, '__init__')",2,2.2100000000000002e-05,4.49e-05
"('utils.py', 222, '__eq__')",8,5.500000000000001e-06,1.06e-05
"('utils.py', 252, '_is_utf')",2,4.6e-06,7.8e-06
"('utils.py', 266, '_supports_unicode')",2,8.3e-06,2.0300000000000002e-05
"('utils.py', 273, '_is_ascii')",16,7.58e-05,9.88e-05
"('utils.py', 282, '_screen_shape_wrapper')",2,1.3e-06,1.3e-06
"('utils.py', 297, '_screen_shape_windows')",2,0.0012698000000000002,0.0013465
"('utils.py', 375, '<genexpr>')",2192,0.0007189000000000001,0.0010347000000000002
"('utils.py', 374, '_text_width')",24,4.52e-05,0.0013962
"('utils.py', 378, 'disp_len')",24,3.9e-05,0.0014834000000000002
"('utils.py', 386, 'disp_trim')",8,1.84e-05,0.0006049
"('_scatter.py', 15, 'scatter')",64,0.004725200000000001,5.237780900000001
"('_scatter.py', 177, 'broadcast')",72,0.000606,0.0036241000000000003
"('sparse.py', 114, 'is_torch_sparse_tensor')",144,0.00034960000000000004,0.00036970000000000004
"('sparse.py', 132, 'is_sparse')",96,0.0001144,0.00045720000000000005
"('dropout.py', 157, 'dropout_edge')",4,0.072065,0.1554894
"('experimental.py', 18, 'get_options')",48,8.61e-05,0.00011630000000000001
"('experimental.py', 34, '<listcomp>')",48,6.950000000000001e-05,6.950000000000001e-05
"('experimental.py', 26, 'is_experimental_mode_enabled')",48,0.0003524,0.0010942
"('experimental.py', 114, 'wrapper')",48,0.000245,3.9777944
"('storage.py', 82, '_pop_cache')",12,1.58e-05,7.37e-05
"('storage.py', 89, '__getattr__')",72,9.43e-05,0.0001429
"('storage.py', 100, '__setattr__')",12,3.29e-05,0.0001395
"('storage.py', 117, '__getitem__')",88,5.61e-05,5.61e-05
"('storage.py', 120, '__setitem__')",12,1.66e-05,9.03e-05
"('storage.py', 206, 'get')",28,2.4800000000000003e-05,3.62e-05
"('storage.py', 555, 'edge_index')",8,1.36e-05,2.68e-05
