function,nc,tt,ct
"('<frozen importlib._bootstrap>', 389, 'parent')",1,1.7e-06,2.4000000000000003e-06
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",3,5.500000000000001e-06,8.000000000000001e-06
"('_collections_abc.py', 664, '__contains__')",8,4.7e-06,7.8e-06
"('functools.py', 404, '__get__')",2,1.11e-05,1.2400000000000002e-05
"('__init__.py', 383, '__getattr__')",1,3.6000000000000003e-06,1.3100000000000002e-05
"('__init__.py', 390, '__getitem__')",1,8.400000000000001e-06,8.6e-06
"('__init__.py', 47, 'create_string_buffer')",2,7.350000000000001e-05,7.52e-05
"('_weakrefset.py', 16, '__init__')",4,4.5e-06,4.5e-06
"('_weakrefset.py', 20, '__enter__')",4,6.1e-06,7.9e-06
"('_weakrefset.py', 26, '__exit__')",4,6.6e-06,9.9e-06
"('_weakrefset.py', 52, '_commit_removals')",4,2.3e-06,2.3e-06
"('_weakrefset.py', 58, '__iter__')",6,1.4200000000000001e-05,3.65e-05
"('_weakrefset.py', 81, 'add')",3,5.600000000000001e-06,9.600000000000001e-06
"('_weakrefset.py', 106, 'remove')",2,5.500000000000001e-06,2.2000000000000003e-05
"('random.py', 123, 'seed')",1,4.000000000000001e-06,1.4000000000000001e-05
"('random.py', 94, '__init__')",1,1.5e-06,1.55e-05
"('random.py', 250, '_randbelow_with_getrandbits')",8,7.5e-06,9.9e-06
"('random.py', 285, 'choice')",8,5.3e-06,1.58e-05
"('threading.py', 222, '__init__')",2,8.000000000000001e-06,8.000000000000001e-06
"('threading.py', 246, '__enter__')",1,1.2000000000000002e-06,1.4000000000000001e-06
"('threading.py', 249, '__exit__')",1,2.9e-06,3e-06
"('threading.py', 255, '_release_save')",1,8.000000000000001e-07,1.0000000000000002e-06
"('threading.py', 258, '_acquire_restore')",1,1.3e-06,2.2e-06
"('threading.py', 261, '_is_owned')",1,8.000000000000001e-07,1.1e-06
"('threading.py', 270, 'wait')",1,7.4e-06,0.0005484
