num_layer,num_dim,train_time_sec,gpu_peak_mb,val_node_mse,val_net_mse
2,8,177.04499506950378,9922.802734375,92.467995,59.649734
2,16,170.86347126960754,11158.85986328125,92.34407,63.51264
2,32,241.9726550579071,13634.203125,92.68259,66.86492
3,8,196.5347068309784,10568.966796875,92.53592,64.75567
3,16,215.53675174713135,12336.8447265625,92.362175,65.42287
3,32,429.9730131626129,15869.81201171875,93.01355,67.192474
4,8,283.06886196136475,11217.150390625,92.33476,63.936493
4,16,342.7644965648651,13513.8740234375,92.84878,65.11586
4,32,697.374109506607,18110.0185546875,92.47205,67.20158
