num_layer,num_dim,epoch,train_node_loss,train_net_loss
4,8,10,257.0106033325195,485.5421875
4,8,11,243.83938293457032,449.9436004638672
4,8,12,230.5593704223633,413.3210845947266
4,8,13,219.12244415283203,375.2859832763672
4,8,14,208.79266357421875,338.5266571044922
4,8,15,198.8617370605469,300.1462371826172
4,8,16,188.9465118408203,263.3047561645508
4,8,17,179.7514205932617,228.02022552490234
4,8,18,172.413338470459,197.05785675048827
4,8,19,165.48088912963868,169.87534713745117
4,8,20,160.9509017944336,146.0547897338867
4,8,21,158.9738037109375,128.25814361572264
4,8,22,155.16904373168944,115.09396133422851
4,8,23,155.0238296508789,104.19765396118164
4,8,24,152.98893508911132,96.39747352600098
4,16,1,354.7236785888672,674.0934936523438
4,16,2,344.0657958984375,648.4900207519531
4,16,3,332.81394348144534,624.9129089355469
4,16,4,319.4451965332031,600.2473388671875
4,16,5,306.1385208129883,573.6635437011719
4,16,6,292.3086196899414,544.7127136230469
4,16,7,275.9545928955078,510.71921997070314
4,16,8,259.09898681640624,477.0815002441406
4,16,9,243.33442077636718,435.9285064697266
4,16,10,228.6548583984375,396.36487731933596
4,16,11,210.56926574707032,355.5361602783203
4,16,12,195.09044647216797,310.18027954101564
4,16,13,182.3208435058594,269.919970703125
4,16,14,170.25964431762696,232.6961227416992
4,16,15,162.77902526855468,195.52120361328124
4,16,16,159.28505859375,165.85057907104493
4,16,17,154.01313171386718,137.6743064880371
4,16,18,152.68969192504883,117.89309387207031
4,16,19,153.05148849487304,104.7493953704834
4,16,20,152.49072799682617,97.28745651245117
4,32,1,349.64176483154296,672.4350524902344
4,32,2,328.80590362548827,630.1573486328125
4,32,3,310.6802062988281,595.0348022460937
4,32,4,289.08916931152345,558.2576110839843
4,32,5,269.4839614868164,518.8055847167968
4,32,6,250.13482818603515,474.305419921875
4,32,7,227.11196746826172,425.2800659179687
4,32,8,207.9979461669922,373.4645050048828
4,32,9,187.15879974365234,318.0386199951172
4,32,10,172.3966911315918,263.59290771484376
4,32,11,163.22533264160157,209.89929428100587
4,32,12,154.05348052978516,162.9587890625
4,32,13,153.39374542236328,130.67037811279297
4,32,14,152.37286682128905,107.94513702392578
4,32,15,152.9660530090332,95.06389350891114
4,32,16,153.77852630615234,91.46341323852539
