epoch,train_node_loss,train_net_loss,val_node_loss,val_net_loss,gpu_peak_memory
0,362.66463775634764,676.6216369628906,177.41207885742188,540.4337158203125,12411.2265625
1,345.616633605957,649.3633544921875,167.0421142578125,515.6589965820312,22133.662109375
2,329.4676025390625,620.2622680664062,156.68023681640625,487.946533203125,22133.7734375
3,311.8186538696289,587.5178894042969,145.9154815673828,455.9632263183594,22133.8056640625
4,293.36043243408204,550.0813537597656,134.59999084472656,420.1518859863281,22133.5302734375
5,274.0375579833984,510.8728820800781,123.58582305908203,379.3277282714844,22133.6328125
6,252.73863372802734,460.34002380371095,113.3462905883789,333.7131042480469,22133.4189453125
7,230.27735900878906,408.3975830078125,104.42146301269531,284.136474609375,22133.5888671875
8,212.23176116943358,353.68755798339845,97.5241928100586,232.88575744628906,22133.7529296875
9,190.85655212402344,293.09002990722655,94.29732513427734,184.44912719726562,22133.6181640625
10,177.88026275634766,236.96528167724608,95.66911315917969,140.69894409179688,22133.767578125
11,163.95451889038085,186.31286163330077,101.34855651855469,105.04419708251953,22133.5595703125
12,155.7125991821289,146.88811645507812,108.92725372314453,79.8157958984375,22133.6123046875
13,152.43725357055663,117.43186302185059,116.24258422851562,66.86194610595703,22133.380859375
14,151.8533721923828,98.6339485168457,121.54940032958984,64.38977813720703,22133.650390625
15,152.58874893188477,94.69871253967285,125.79057312011719,68.34259033203125,22133.6650390625
