epoch,train_node_loss,train_net_loss,val_node_loss,val_net_loss,gpu_peak_memory
0,373.81569213867186,675.4057373046875,185.26760864257812,544.7987060546875,7701.4130859375
1,359.48054656982424,657.187060546875,176.69931030273438,526.665283203125,13419.2861328125
2,346.21669311523436,635.8156311035157,168.60052490234375,506.41259765625,13419.0947265625
3,333.26673126220703,612.7757690429687,160.312744140625,482.6559143066406,13419.1865234375
4,318.97448577880857,584.6025634765625,151.82908630371094,457.62664794921875,13419.1611328125
5,305.0513641357422,557.2996887207031,142.7567596435547,430.92572021484375,13419.2021484375
6,290.5339019775391,526.451904296875,133.7113800048828,400.91900634765625,13419.1787109375
7,273.3523345947266,492.23944091796875,124.98702239990234,367.8138427734375,13419.1044921875
8,256.7737213134766,453.68930969238284,116.74174499511719,332.1261901855469,13419.2412109375
9,240.52772827148436,412.1770812988281,109.07942962646484,295.0639953613281,13419.2197265625
10,223.2637924194336,368.7215057373047,102.82794952392578,256.17926025390625,13419.3388671875
11,208.28618621826172,325.24708557128906,97.95784759521484,216.4506378173828,13419.1962890625
12,196.87747650146486,279.9898971557617,94.89004516601562,178.28746032714844,13419.1142578125
13,181.69501647949218,232.89906005859376,94.23416900634766,143.75323486328125,13419.2158203125
14,172.35929260253906,195.09893569946288,95.70530700683594,113.12226867675781,13419.2177734375
15,164.7631736755371,157.75650634765626,99.18053436279297,89.6657485961914,13419.2939453125
16,157.87166900634764,132.52714042663575,103.44303131103516,73.53059387207031,13419.0361328125
17,154.64385223388672,108.43867683410645,108.13790130615234,65.9783706665039,13419.2353515625
18,154.35204162597657,97.21599197387695,113.84589385986328,64.42053985595703,13419.0615234375
19,152.81136245727538,91.26661338806153,117.72408294677734,66.50061798095703,13419.2353515625
20,153.3892936706543,91.94372863769532,121.42877197265625,70.28524017333984,13419.1181640625
21,152.79748153686523,92.11576080322266,122.56624603271484,72.87745666503906,13419.1923828125
22,152.89072799682617,92.8200813293457,122.7390365600586,73.75115966796875,13419.1904296875
23,152.8930976867676,92.75434265136718,121.54192352294922,72.05675506591797,13419.0849609375
24,152.75492630004882,92.40586853027344,121.47869110107422,69.99984741210938,13419.1572265625
25,152.72162704467775,91.84673233032227,120.36308288574219,69.83831787109375,13419.1728515625
26,152.6129577636719,91.53036575317383,119.8592758178711,69.27100372314453,13419.2587890625
27,153.2560890197754,91.95673751831055,117.43636322021484,66.9835205078125,13419.4072265625
28,152.59709854125975,91.98632049560547,117.95426940917969,66.685791015625,13419.2119140625
29,152.72015304565429,91.59038009643555,117.63788604736328,67.74238586425781,13419.1279296875
