epoch,train_node_loss,train_net_loss,val_node_loss,val_net_loss,gpu_peak_memory
0,354.8802825927734,681.8977905273438,175.36514282226562,551.7620849609375,7757.4091796875
1,345.65386352539065,662.8436157226563,169.54551696777344,531.9603271484375,13540.0419921875
2,336.66991729736327,640.5367126464844,164.01693725585938,514.40478515625,13539.6083984375
3,327.5693023681641,620.6324523925781,157.6151123046875,495.9753112792969,13539.7294921875
4,317.39879455566404,599.0625366210937,151.69082641601562,475.7104187011719,13539.7568359375
5,306.5013854980469,576.4938598632813,145.11541748046875,454.49212646484375,13539.6240234375
6,295.3824401855469,552.8996887207031,138.40528869628906,432.03875732421875,13539.7802734375
7,284.28318786621094,528.7232727050781,131.50177001953125,408.52911376953125,13539.6123046875
8,270.89010467529295,503.19037475585935,124.59981536865234,384.74383544921875,13539.4833984375
9,257.0087463378906,475.71131591796876,117.88798522949219,360.0096740722656,13539.8779296875
10,245.84232635498046,449.0175262451172,111.33816528320312,334.86090087890625,13539.8701171875
11,230.98468780517578,421.04860229492186,105.9007339477539,309.1041564941406,13539.5771484375
12,218.67816619873048,390.24378356933596,101.213134765625,283.5265197753906,13539.6513671875
13,206.18340301513672,361.45680236816406,97.63967895507812,257.3790588378906,13539.9677734375
14,194.85379943847656,332.8181427001953,95.26911926269531,231.02740478515625,13539.6083984375
15,184.84657287597656,301.5131591796875,94.23868560791016,205.83287048339844,13540.0185546875
16,177.13837356567382,273.3737762451172,94.60608673095703,181.353271484375,13539.4794921875
17,168.98944625854492,245.89318237304687,96.20896911621094,158.21348571777344,13539.7138671875
18,163.77935180664062,219.18831481933594,98.93464660644531,136.94766235351562,13539.5341796875
19,160.22254943847656,192.9633644104004,102.6987075805664,118.50606536865234,13539.9951171875
20,155.64726943969725,171.065771484375,106.01782989501953,102.49408721923828,13539.5576171875
21,155.0891860961914,150.84845886230468,110.08943939208984,89.39401245117188,13539.6708984375
22,154.40102615356446,135.01803436279297,114.09638977050781,79.1314926147461,13539.6943359375
23,152.6693328857422,119.86089630126953,115.65827178955078,72.15373992919922,13539.7333984375
24,152.56633911132812,111.81296195983887,117.11820983886719,67.35755157470703,13539.6279296875
25,152.5583381652832,103.40808982849121,118.00301361083984,65.00447845458984,13539.7685546875
