function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6.200000000000001e-06,8.000000000000001e-06
"('_collections_abc.py', 664, '__contains__')",8,5e-06,1.1000000000000001e-05
"('functools.py', 404, '__get__')",2,1.36e-05,1.5100000000000001e-05
"('__init__.py', 47, 'create_string_buffer')",2,4.4000000000000006e-05,4.61e-05
"('_weakrefset.py', 16, '__init__')",4,4.9000000000000005e-06,4.9000000000000005e-06
"('_weakrefset.py', 20, '__enter__')",4,1e-05,1.2800000000000001e-05
"('_weakrefset.py', 26, '__exit__')",4,1.06e-05,1.55e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.5000000000000004e-06,3.5000000000000004e-06
"('_weakrefset.py', 58, '__iter__')",6,1.8900000000000002e-05,5.2100000000000006e-05
"('_weakrefset.py', 81, 'add')",2,5.8e-06,1.0500000000000001e-05
"('_weakrefset.py', 106, 'remove')",2,7.6e-06,3.0200000000000002e-05
"('threading.py', 513, 'is_set')",2,1.1e-06,1.1e-06
"('_compile.py', 9, 'is_compiling')",336,0.00043470000000000005,0.00043470000000000005
"('_tensor.py', 429, 'backward')",3,4.86e-05,31.501240300000003
"('_tensor.py', 906, '__iter__')",4,1.79e-05,0.00011080000000000001
"('_tensor.py', 928, '__hash__')",246,4.9300000000000006e-05,7.75e-05
"('__init__.py', 78, '_is_compiled')",3,4.3e-06,7.4e-06
"('__init__.py', 82, 'is_available')",3,9.7e-06,2.1700000000000002e-05
"('functional.py', 45, 'broadcast_tensors')",8,8.32e-05,0.00018390000000000002
"('__init__.py', 31, '__get__')",24,2.58e-05,5.5700000000000005e-05
"('module.py', 1188, '_call_impl')",432,0.4181636,21.3105523
"('module.py', 1256, '__getattr__')",580,0.0016108000000000001,0.0016108000000000001
"('linear.py', 113, 'forward')",152,0.0013734,3.5168519000000003
"('functional.py', 1446, 'relu')",24,0.0001464,0.36515640000000005
"('functional.py', 1618, 'leaky_relu')",64,0.0004063,3.4493283000000003
"('functional.py', 2500, 'layer_norm')",24,0.00030260000000000004,1.1839721
"('functional.py', 3264, 'mse_loss')",8,9.37e-05,0.007431500000000001
"('_VF.py', 26, '__getattr__')",8,1.41e-05,2.2100000000000002e-05
"('_reduction.py', 7, 'get_enum')",8,8.900000000000001e-06,8.900000000000001e-06
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001381,0.0001381
"('activation.py', 101, 'forward')",24,0.00012890000000000002,0.36528530000000003
