function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6.900000000000001e-06,1.34e-05
"('_collections_abc.py', 664, '__contains__')",8,5.7000000000000005e-06,1.16e-05
"('functools.py', 404, '__get__')",2,1.4000000000000001e-05,1.5700000000000002e-05
"('__init__.py', 47, 'create_string_buffer')",2,4.4500000000000004e-05,4.66e-05
"('_weakrefset.py', 16, '__init__')",4,4.5e-06,4.5e-06
"('_weakrefset.py', 20, '__enter__')",4,7.8e-06,1.01e-05
"('_weakrefset.py', 26, '__exit__')",4,8.3e-06,1.18e-05
"('_weakrefset.py', 52, '_commit_removals')",4,2.5e-06,2.5e-06
"('_weakrefset.py', 58, '__iter__')",6,1.4400000000000001e-05,4.08e-05
"('_weakrefset.py', 81, 'add')",2,1.2600000000000001e-05,2.3800000000000003e-05
"('_weakrefset.py', 106, 'remove')",2,5.9e-06,2.4e-05
"('threading.py', 513, 'is_set')",2,1.1e-06,1.1e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004712,0.0004712
"('_tensor.py', 429, 'backward')",3,5.33e-05,31.4763036
"('_tensor.py', 906, '__iter__')",4,1.7e-05,0.00011980000000000001
"('_tensor.py', 928, '__hash__')",246,4.99e-05,7.72e-05
"('__init__.py', 78, '_is_compiled')",3,4.000000000000001e-06,7.3e-06
"('__init__.py', 82, 'is_available')",3,9.800000000000001e-06,2.18e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.0001022,0.00021050000000000002
"('__init__.py', 31, '__get__')",24,2.6700000000000002e-05,5.6300000000000006e-05
"('module.py', 1188, '_call_impl')",432,0.4135287,21.3240984
"('module.py', 1256, '__getattr__')",580,0.0016725000000000002,0.0016725000000000002
"('linear.py', 113, 'forward')",152,0.0013843,3.5690026
"('functional.py', 1446, 'relu')",24,0.0001315,0.3575274
"('functional.py', 1618, 'leaky_relu')",64,0.0004024,3.43962
"('functional.py', 2500, 'layer_norm')",24,0.0002899,1.1529595000000001
"('functional.py', 3264, 'mse_loss')",8,0.0001072,0.008338400000000001
"('_VF.py', 26, '__getattr__')",8,1.25e-05,2.1700000000000002e-05
"('_reduction.py', 7, 'get_enum')",8,9.800000000000001e-06,9.800000000000001e-06
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001466,0.0001466
"('activation.py', 101, 'forward')",24,0.0001374,0.3576648
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0031799000000000003,0.0031799000000000003
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.00043650000000000004,0.00043650000000000004
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,2.96e-05,2.96e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,4.800000000000001e-06,4.800000000000001e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.00012230000000000002,0.00012230000000000002
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,4.1e-05,4.1e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.3e-06,2.3e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,4.5e-06,4.5e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,4.7e-06,4.7e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002474,0.0002474
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0004128,0.0004128
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.6700000000000002e-05,2.6700000000000002e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,7.170000000000001e-05,7.170000000000001e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0006884,0.0006884
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0017085000000000002,0.0017085000000000002
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0029651,0.0029651
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0014035,0.0014035
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0012564000000000002,0.0012564000000000002
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.0002817,0.0002817
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0009334,0.0009334
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.7457336,0.7457336
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.0043229,0.0043229
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.0061615,0.0061615
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.0037307000000000004,0.0037307000000000004
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.5571504,0.5571504
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,3.3390909000000004,3.3390909000000004
"('~', 0, ""<method 'scatter_reduce_' of 'torch._C._TensorBase' objects>"")",8,0.787514,0.787514
"('~', 0, ""<method 'sqrt' of 'torch._C._TensorBase' objects>"")",246,0.0011409,0.0011409
"('~', 0, ""<method 'unbind' of 'torch._C._TensorBase' objects>"")",4,8.87e-05,8.87e-05
"('~', 0, ""<method 'view' of 'torch._C._TensorBase' objects>"")",120,0.0031206000000000003,0.0031206000000000003
"('~', 0, ""<method 'zero_' of 'torch._C._TensorBase' objects>"")",246,0.0002673,0.0002673
"('~', 0, '<built-in method torch.concat>')",44,1.1098039000000002,1.1098039000000002
"('~', 0, '<built-in method torch.rand>')",4,0.06351770000000001,0.06351770000000001
"('~', 0, '<built-in method torch.zeros>')",6,0.0001687,0.0001687
"('~', 0, '<built-in method torch.is_complex>')",246,0.00015810000000000002,0.00015810000000000002
"('~', 0, '<built-in method torch.ones_like>')",3,4.2900000000000006e-05,4.2900000000000006e-05
"('~', 0, '<built-in method torch.squeeze>')",8,0.0001852,0.0001852
