function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,1.2100000000000001e-05,1.43e-05
"('_collections_abc.py', 664, '__contains__')",8,6.200000000000001e-06,1.2400000000000002e-05
"('functools.py', 404, '__get__')",2,1.5300000000000003e-05,1.7e-05
"('__init__.py', 47, 'create_string_buffer')",2,0.0362311,0.036233100000000004
"('_weakrefset.py', 16, '__init__')",4,5.7000000000000005e-06,5.7000000000000005e-06
"('_weakrefset.py', 20, '__enter__')",4,1.3500000000000001e-05,1.66e-05
"('_weakrefset.py', 26, '__exit__')",4,1.3300000000000001e-05,1.8500000000000002e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.9e-06,3.9e-06
"('_weakrefset.py', 58, '__iter__')",6,2.33e-05,6.41e-05
"('_weakrefset.py', 81, 'add')",2,1.4400000000000001e-05,2.29e-05
"('_weakrefset.py', 106, 'remove')",2,9.4e-06,3.37e-05
"('threading.py', 513, 'is_set')",2,1.0000000000000002e-06,1.0000000000000002e-06
"('_compile.py', 9, 'is_compiling')",336,0.00048570000000000004,0.00048570000000000004
"('_tensor.py', 429, 'backward')",3,5.4800000000000004e-05,36.0742525
"('_tensor.py', 906, '__iter__')",4,3.97e-05,0.0001448
"('_tensor.py', 928, '__hash__')",246,5.9000000000000004e-05,9.27e-05
"('__init__.py', 78, '_is_compiled')",3,4.800000000000001e-06,8.400000000000001e-06
"('__init__.py', 82, 'is_available')",3,9.9e-06,2.3500000000000002e-05
"('functional.py', 45, 'broadcast_tensors')",8,9.88e-05,0.0002086
"('__init__.py', 31, '__get__')",24,3.3900000000000004e-05,6.55e-05
"('module.py', 1188, '_call_impl')",432,0.49094340000000003,24.553869900000002
"('module.py', 1256, '__getattr__')",580,0.0019210000000000002,0.0019210000000000002
"('linear.py', 113, 'forward')",152,0.0016224000000000002,4.0973733
"('functional.py', 1446, 'relu')",24,0.0001542,0.41659710000000005
"('functional.py', 1618, 'leaky_relu')",64,0.00047470000000000005,4.2971494
"('functional.py', 2500, 'layer_norm')",24,0.00032740000000000004,1.3878372
"('functional.py', 3264, 'mse_loss')",8,0.0001015,0.0093373
"('_VF.py', 26, '__getattr__')",8,1.5e-05,2.4200000000000002e-05
"('_reduction.py', 7, 'get_enum')",8,9.5e-06,9.5e-06
"('_jit_internal.py', 1082, 'is_scripting')",483,0.00016680000000000002,0.00016680000000000002
"('activation.py', 101, 'forward')",24,0.0001474,0.4167445
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0034661,0.0034661
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.00045910000000000005,0.00045910000000000005
