function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,7.100000000000001e-06,9.3e-06
"('_collections_abc.py', 664, '__contains__')",8,5.3e-06,1.09e-05
"('functools.py', 404, '__get__')",2,1.59e-05,1.83e-05
"('__init__.py', 47, 'create_string_buffer')",2,5.8500000000000006e-05,6.0200000000000006e-05
"('_weakrefset.py', 16, '__init__')",4,5.600000000000001e-06,5.600000000000001e-06
"('_weakrefset.py', 20, '__enter__')",4,9.5e-06,1.23e-05
"('_weakrefset.py', 26, '__exit__')",4,9.3e-06,1.34e-05
"('_weakrefset.py', 52, '_commit_removals')",4,2.9e-06,2.9e-06
"('_weakrefset.py', 58, '__iter__')",6,1.81e-05,4.94e-05
"('_weakrefset.py', 81, 'add')",2,8.1e-06,1.48e-05
"('_weakrefset.py', 106, 'remove')",2,7.8e-06,3.04e-05
"('threading.py', 513, 'is_set')",2,1.1e-06,1.1e-06
"('_compile.py', 9, 'is_compiling')",336,0.00045630000000000003,0.00045630000000000003
"('_tensor.py', 429, 'backward')",3,4.9000000000000005e-05,31.1828265
"('_tensor.py', 906, '__iter__')",4,1.58e-05,0.00010640000000000001
"('_tensor.py', 928, '__hash__')",246,4.72e-05,7.43e-05
"('__init__.py', 78, '_is_compiled')",3,4.7e-06,7.6e-06
"('__init__.py', 82, 'is_available')",3,8.900000000000001e-06,2.1300000000000003e-05
"('functional.py', 45, 'broadcast_tensors')",8,9.970000000000001e-05,0.0002254
"('__init__.py', 31, '__get__')",24,2.97e-05,6.050000000000001e-05
"('module.py', 1188, '_call_impl')",432,0.3399275,21.1537104
"('module.py', 1256, '__getattr__')",580,0.0017737,0.0017737
"('linear.py', 113, 'forward')",152,0.0014874,3.7798253
"('functional.py', 1446, 'relu')",24,0.0001493,0.38131940000000003
"('functional.py', 1618, 'leaky_relu')",64,0.000431,3.3746006000000004
"('functional.py', 2500, 'layer_norm')",24,0.00031840000000000004,1.1765868000000002
"('functional.py', 3264, 'mse_loss')",8,0.000111,0.009063700000000001
"('_VF.py', 26, '__getattr__')",8,2.65e-05,4.0300000000000004e-05
"('_reduction.py', 7, 'get_enum')",8,9e-06,9e-06
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001544,0.0001544
"('activation.py', 101, 'forward')",24,0.0001482,0.3814676
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0032702,0.0032702
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004379,0.0004379
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.08e-05,3.08e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,4.7e-06,4.7e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.00012450000000000002,0.00012450000000000002
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,3.8e-05,3.8e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.4000000000000003e-06,2.4000000000000003e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,5e-06,5e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,4.800000000000001e-06,4.800000000000001e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.00024660000000000003,0.00024660000000000003
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.00041910000000000005,0.00041910000000000005
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.92e-05,2.92e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,8.39e-05,8.39e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0007147000000000001,0.0007147000000000001
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0016363,0.0016363
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0030267000000000002,0.0030267000000000002
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0014488,0.0014488
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0012572,0.0012572
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.0003256,0.0003256
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0009844,0.0009844
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.7285696,0.7285696
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.0041904,0.0041904
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.0063016,0.0063016
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.0038503,0.0038503
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.5745169,0.5745169
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,3.6466014,3.6466014
"('~', 0, ""<method 'scatter_reduce_' of 'torch._C._TensorBase' objects>"")",8,0.9117971,0.9117971
"('~', 0, ""<method 'sqrt' of 'torch._C._TensorBase' objects>"")",246,0.0011527,0.0011527
"('~', 0, ""<method 'unbind' of 'torch._C._TensorBase' objects>"")",4,7.76e-05,7.76e-05
"('~', 0, ""<method 'view' of 'torch._C._TensorBase' objects>"")",120,0.0031921000000000002,0.0031921000000000002
"('~', 0, ""<method 'zero_' of 'torch._C._TensorBase' objects>"")",246,0.00028220000000000003,0.00028220000000000003
"('~', 0, '<built-in method torch.concat>')",44,1.0174227,1.0174227
"('~', 0, '<built-in method torch.rand>')",4,0.0742942,0.0742942
"('~', 0, '<built-in method torch.zeros>')",6,0.0001785,0.0001785
"('~', 0, '<built-in method torch.is_complex>')",246,0.00030940000000000004,0.00030940000000000004
"('~', 0, '<built-in method torch.ones_like>')",3,4.0100000000000006e-05,4.0100000000000006e-05
"('~', 0, '<built-in method torch.squeeze>')",8,0.0001874,0.0001874
"('~', 0, '<built-in method torch.broadcast_tensors>')",8,8.070000000000001e-05,8.070000000000001e-05
"('~', 0, '<built-in method torch.layer_norm>')",24,1.1761773,1.1761773
"('~', 0, '<built-in method torch.relu>')",24,0.3811354,0.3811354
"('~', 0, '<built-in method torch._C._are_functorch_transforms_active>')",3,1.1900000000000001e-05,1.1900000000000001e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_exit>')",6,6.110000000000001e-05,6.110000000000001e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_enter>')",6,0.00015460000000000002,0.00015460000000000002
"('activation.py', 774, 'forward')",32,0.0001675,0.5568538000000001
"('loss.py', 535, 'forward')",8,4.61e-05,0.009109800000000001
"('container.py', 194, '__iter__')",80,0.00032270000000000004,0.0004953000000000001
"('container.py', 202, 'forward')",80,0.17214030000000002,3.5442805
