function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6.8e-06,8.8e-06
"('_collections_abc.py', 664, '__contains__')",8,5.4e-06,1.0700000000000001e-05
"('functools.py', 404, '__get__')",2,1.48e-05,1.67e-05
"('__init__.py', 47, 'create_string_buffer')",2,4.53e-05,4.74e-05
"('_weakrefset.py', 16, '__init__')",4,4.3e-06,4.3e-06
"('_weakrefset.py', 20, '__enter__')",4,9e-06,1.1200000000000001e-05
"('_weakrefset.py', 26, '__exit__')",4,8.900000000000001e-06,1.23e-05
"('_weakrefset.py', 52, '_commit_removals')",4,2.6e-06,2.6e-06
"('_weakrefset.py', 58, '__iter__')",6,1.7800000000000002e-05,4.5600000000000004e-05
"('_weakrefset.py', 81, 'add')",2,8.7e-06,1.62e-05
"('_weakrefset.py', 106, 'remove')",2,7.7e-06,2.7300000000000003e-05
"('threading.py', 513, 'is_set')",2,1.2000000000000002e-06,1.2000000000000002e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004379,0.0004379
"('_tensor.py', 429, 'backward')",3,5.95e-05,30.822296400000003
"('_tensor.py', 906, '__iter__')",4,1.66e-05,0.00010980000000000001
"('_tensor.py', 928, '__hash__')",246,5.7300000000000004e-05,9.070000000000001e-05
"('__init__.py', 78, '_is_compiled')",3,5.4e-06,9.100000000000001e-06
"('__init__.py', 82, 'is_available')",3,1.16e-05,2.5900000000000003e-05
"('functional.py', 45, 'broadcast_tensors')",8,9.49e-05,0.0002032
"('__init__.py', 31, '__get__')",24,2.6700000000000002e-05,5.58e-05
"('module.py', 1188, '_call_impl')",432,0.3645533,21.1387079
"('module.py', 1256, '__getattr__')",580,0.0016694000000000001,0.0016694000000000001
"('linear.py', 113, 'forward')",152,0.0013955,3.5978229
"('functional.py', 1446, 'relu')",24,0.0001308,0.35730480000000003
"('functional.py', 1618, 'leaky_relu')",64,0.0003972,3.5503467000000004
"('functional.py', 2500, 'layer_norm')",24,0.0002837,1.1910421
"('functional.py', 3264, 'mse_loss')",8,9.400000000000001e-05,0.008482400000000001
"('_VF.py', 26, '__getattr__')",8,1.3800000000000002e-05,2.3e-05
"('_reduction.py', 7, 'get_enum')",8,1.18e-05,1.18e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.00014450000000000002,0.00014450000000000002
"('activation.py', 101, 'forward')",24,0.00014120000000000002,0.35744600000000004
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0031720000000000003,0.0031720000000000003
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004151,0.0004151
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,2.9100000000000003e-05,2.9100000000000003e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,4.2000000000000004e-06,4.2000000000000004e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001232,0.0001232
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,3.71e-05,3.71e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.5e-06,2.5e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,5.3e-06,5.3e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,5.2e-06,5.2e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.00022740000000000003,0.00022740000000000003
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.00046800000000000005,0.00046800000000000005
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.6700000000000002e-05,2.6700000000000002e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,5.8500000000000006e-05,5.8500000000000006e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0006586000000000001,0.0006586000000000001
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0015780000000000002,0.0015780000000000002
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0031593000000000003,0.0031593000000000003
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0014938,0.0014938
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.001464,0.001464
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.0002817,0.0002817
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0008914000000000001,0.0008914000000000001
