function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,1.13e-05,1.41e-05
"('_collections_abc.py', 664, '__contains__')",8,5.2e-06,1.1000000000000001e-05
"('functools.py', 404, '__get__')",2,1.5100000000000001e-05,1.7100000000000002e-05
"('__init__.py', 47, 'create_string_buffer')",2,6.16e-05,6.37e-05
"('_weakrefset.py', 16, '__init__')",4,6.300000000000001e-06,6.300000000000001e-06
"('_weakrefset.py', 20, '__enter__')",4,1.3300000000000001e-05,1.6400000000000002e-05
"('_weakrefset.py', 26, '__exit__')",4,1.32e-05,1.83e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.7e-06,3.7e-06
"('_weakrefset.py', 58, '__iter__')",6,2.47e-05,6.57e-05
"('_weakrefset.py', 81, 'add')",2,9.7e-06,1.7800000000000002e-05
"('_weakrefset.py', 106, 'remove')",2,1.0300000000000001e-05,4.3400000000000005e-05
"('threading.py', 513, 'is_set')",2,1.3e-06,1.3e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004982000000000001,0.0004982000000000001
"('_tensor.py', 429, 'backward')",3,5.6000000000000006e-05,37.793803100000005
"('_tensor.py', 906, '__iter__')",4,3.24e-05,0.0001353
"('_tensor.py', 928, '__hash__')",246,5.9900000000000006e-05,9.810000000000001e-05
"('__init__.py', 78, '_is_compiled')",3,4.6e-06,8.000000000000001e-06
"('__init__.py', 82, 'is_available')",3,1.1000000000000001e-05,2.4900000000000002e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.00011820000000000001,0.0002479
"('__init__.py', 31, '__get__')",24,2.8700000000000003e-05,6.110000000000001e-05
"('module.py', 1188, '_call_impl')",432,0.5213669000000001,26.038162200000002
"('module.py', 1256, '__getattr__')",580,0.0019386000000000002,0.0019386000000000002
"('linear.py', 113, 'forward')",152,0.0016039000000000001,4.3064864
"('functional.py', 1446, 'relu')",24,0.00015340000000000002,0.4597449
"('functional.py', 1618, 'leaky_relu')",64,0.0004427,4.428455700000001
"('functional.py', 2500, 'layer_norm')",24,0.00031620000000000004,1.4302197
"('functional.py', 3264, 'mse_loss')",8,0.0001173,0.0100846
"('_VF.py', 26, '__getattr__')",8,1.88e-05,2.8400000000000003e-05
"('_reduction.py', 7, 'get_enum')",8,1.15e-05,1.15e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.00016710000000000002,0.00016710000000000002
"('activation.py', 101, 'forward')",24,0.000155,0.45989990000000003
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0034696,0.0034696
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004664,0.0004664
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.24e-05,3.24e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,5.1e-06,5.1e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001327,0.0001327
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,4.22e-05,4.22e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.7e-06,2.7e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,5.500000000000001e-06,5.500000000000001e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,5.9e-06,5.9e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002887,0.0002887
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.00048330000000000004,0.00048330000000000004
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,3.04e-05,3.04e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,9.61e-05,9.61e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0007620000000000001,0.0007620000000000001
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0016481,0.0016481
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0034871000000000004,0.0034871000000000004
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0016894000000000002,0.0016894000000000002
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0014875,0.0014875
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.0003152,0.0003152
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0010443,0.0010443
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.8343393,0.8343393
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.0047051,0.0047051
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.0072125,0.0072125
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.004606900000000001,0.004606900000000001
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.6690542,0.6690542
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,4.3052528,4.3052528
"('~', 0, ""<method 'scatter_reduce_' of 'torch._C._TensorBase' objects>"")",8,0.9967657000000001,0.9967657000000001
"('~', 0, ""<method 'sqrt' of 'torch._C._TensorBase' objects>"")",246,0.0013241000000000001,0.0013241000000000001
"('~', 0, ""<method 'unbind' of 'torch._C._TensorBase' objects>"")",4,9.290000000000001e-05,9.290000000000001e-05
"('~', 0, ""<method 'view' of 'torch._C._TensorBase' objects>"")",120,0.0036471000000000003,0.0036471000000000003
"('~', 0, ""<method 'zero_' of 'torch._C._TensorBase' objects>"")",246,0.0003352,0.0003352
"('~', 0, '<built-in method torch.concat>')",44,1.1739651,1.1739651
"('~', 0, '<built-in method torch.rand>')",4,0.0952236,0.0952236
"('~', 0, '<built-in method torch.zeros>')",6,0.0001821,0.0001821
"('~', 0, '<built-in method torch.is_complex>')",246,0.0001855,0.0001855
"('~', 0, '<built-in method torch.ones_like>')",3,4.57e-05,4.57e-05
"('~', 0, '<built-in method torch.squeeze>')",8,0.00023480000000000002,0.00023480000000000002
"('~', 0, '<built-in method torch.broadcast_tensors>')",8,9.620000000000001e-05,9.620000000000001e-05
"('~', 0, '<built-in method torch.layer_norm>')",24,1.4298075000000001,1.4298075000000001
"('~', 0, '<built-in method torch.relu>')",24,0.4595562,0.4595562
"('~', 0, '<built-in method torch._C._are_functorch_transforms_active>')",3,1.2600000000000001e-05,1.2600000000000001e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_exit>')",6,7.33e-05,7.33e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_enter>')",6,0.0001653,0.0001653
"('activation.py', 774, 'forward')",32,0.0001854,0.6666465
"('loss.py', 535, 'forward')",8,4.69e-05,0.0101315
"('container.py', 194, '__iter__')",80,0.0003178,0.0005005000000000001
"('container.py', 202, 'forward')",80,0.2677685,4.1883483
"('container.py', 268, '_get_abs_string_index')",56,0.0005563,0.0008240000000000001
"('container.py', 277, '__getitem__')",56,0.0002816,0.0012259
"('container.py', 298, '__len__')",112,6.94e-05,0.00010360000000000001
"('__init__.py', 47, '_make_grads')",3,4.39e-05,9.7e-05
"('__init__.py', 95, '_tensor_or_tensors_to_tuple')",3,5.3e-06,5.3e-06
"('__init__.py', 103, 'backward')",3,6.64e-05,37.7937451
"('grad_mode.py', 24, 'decorate_context')",3,6.91e-05,0.025383000000000003
"('grad_mode.py', 82, 'clone')",3,7.6e-06,4.0900000000000005e-05
"('grad_mode.py', 126, '__init__')",3,3.2000000000000005e-05,3.33e-05
"('grad_mode.py', 131, '__enter__')",3,2.0300000000000002e-05,3.97e-05
"('grad_mode.py', 135, '__exit__')",3,1.54e-05,3.34e-05
"('grad_mode.py', 227, '__init__')",6,2.92e-05,3.47e-05
"('profiler.py', 478, '__init__')",6,3.47e-05,0.0002168
