function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,7.9e-06,1.0300000000000001e-05
"('_collections_abc.py', 664, '__contains__')",8,6.1e-06,1.4000000000000001e-05
"('functools.py', 404, '__get__')",2,1.48e-05,1.7e-05
"('__init__.py', 47, 'create_string_buffer')",2,6.06e-05,6.31e-05
"('_weakrefset.py', 16, '__init__')",4,4.800000000000001e-06,4.800000000000001e-06
"('_weakrefset.py', 20, '__enter__')",4,9.100000000000001e-06,1.1700000000000001e-05
"('_weakrefset.py', 26, '__exit__')",4,9.600000000000001e-06,1.34e-05
"('_weakrefset.py', 52, '_commit_removals')",4,2.7e-06,2.7e-06
"('_weakrefset.py', 58, '__iter__')",6,1.8500000000000002e-05,4.8400000000000004e-05
"('_weakrefset.py', 81, 'add')",2,7.8e-06,1.43e-05
"('_weakrefset.py', 106, 'remove')",2,7.2000000000000005e-06,2.6200000000000003e-05
"('threading.py', 513, 'is_set')",2,1.3e-06,1.3e-06
"('_compile.py', 9, 'is_compiling')",336,0.00048090000000000003,0.00048090000000000003
"('_tensor.py', 429, 'backward')",3,5.5700000000000005e-05,36.5096597
"('_tensor.py', 906, '__iter__')",4,1.97e-05,0.0001218
"('_tensor.py', 928, '__hash__')",246,6.57e-05,0.0001049
"('__init__.py', 78, '_is_compiled')",3,5e-06,8.3e-06
"('__init__.py', 82, 'is_available')",3,1.1200000000000001e-05,2.5e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.0001056,0.00023490000000000002
"('__init__.py', 31, '__get__')",24,3.0100000000000003e-05,6.29e-05
"('module.py', 1188, '_call_impl')",432,0.42242460000000004,24.559213600000003
"('module.py', 1256, '__getattr__')",580,0.0019208,0.0019208
"('linear.py', 113, 'forward')",152,0.0016,4.2085233
"('functional.py', 1446, 'relu')",24,0.0001572,0.4424846
"('functional.py', 1618, 'leaky_relu')",64,0.0004422,4.3401130000000006
"('functional.py', 2500, 'layer_norm')",24,0.0003326,1.3739361
"('functional.py', 3264, 'mse_loss')",8,0.00010410000000000001,0.0093094
