function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6.900000000000001e-06,9.3e-06
"('_collections_abc.py', 664, '__contains__')",8,5.9e-06,1.22e-05
"('functools.py', 404, '__get__')",2,1.4700000000000002e-05,1.67e-05
"('__init__.py', 47, 'create_string_buffer')",2,0.000476,0.00047850000000000003
"('_weakrefset.py', 16, '__init__')",4,6e-06,6e-06
"('_weakrefset.py', 20, '__enter__')",4,1.25e-05,1.56e-05
"('_weakrefset.py', 26, '__exit__')",4,1.22e-05,1.69e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.5000000000000004e-06,3.5000000000000004e-06
"('_weakrefset.py', 58, '__iter__')",6,2.25e-05,6.1000000000000005e-05
"('_weakrefset.py', 81, 'add')",2,1.43e-05,2.54e-05
"('_weakrefset.py', 106, 'remove')",2,9.100000000000001e-06,3.34e-05
"('threading.py', 513, 'is_set')",2,1.2000000000000002e-06,1.2000000000000002e-06
"('_compile.py', 9, 'is_compiling')",336,0.0005105,0.0005105
"('_tensor.py', 429, 'backward')",3,5.7100000000000006e-05,39.6243725
"('_tensor.py', 906, '__iter__')",4,1.8500000000000002e-05,0.00011970000000000001
"('_tensor.py', 928, '__hash__')",246,6.110000000000001e-05,9.66e-05
"('__init__.py', 78, '_is_compiled')",3,5.3e-06,8.5e-06
"('__init__.py', 82, 'is_available')",3,1.09e-05,2.51e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.00011180000000000001,0.00023860000000000003
"('__init__.py', 31, '__get__')",24,3.66e-05,6.92e-05
"('module.py', 1188, '_call_impl')",432,0.47077800000000003,26.9195768
"('module.py', 1256, '__getattr__')",580,0.0019799,0.0019799
"('linear.py', 113, 'forward')",152,0.0016917000000000002,4.4946721
"('functional.py', 1446, 'relu')",24,0.00016710000000000002,0.4896672
"('functional.py', 1618, 'leaky_relu')",64,0.00048330000000000004,4.8291339
"('functional.py', 2500, 'layer_norm')",24,0.00036100000000000005,1.5072226000000002
"('functional.py', 3264, 'mse_loss')",8,0.00011990000000000001,0.010167
"('_VF.py', 26, '__getattr__')",8,1.56e-05,2.5200000000000003e-05
"('_reduction.py', 7, 'get_enum')",8,1.13e-05,1.13e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.00018390000000000002,0.00018390000000000002
"('activation.py', 101, 'forward')",24,0.000163,0.48983020000000005
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.003539,0.003539
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004931,0.0004931
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.26e-05,3.26e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,6e-06,6e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001375,0.0001375
