function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,8.400000000000001e-06,1.0700000000000001e-05
"('_collections_abc.py', 664, '__contains__')",8,5.7000000000000005e-06,1.1400000000000001e-05
"('functools.py', 404, '__get__')",2,1.65e-05,1.88e-05
"('__init__.py', 47, 'create_string_buffer')",2,5e-05,5.2000000000000004e-05
"('_weakrefset.py', 16, '__init__')",4,5.4e-06,5.4e-06
"('_weakrefset.py', 20, '__enter__')",4,8.7e-06,1.1000000000000001e-05
"('_weakrefset.py', 26, '__exit__')",4,1.01e-05,1.4000000000000001e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3e-06,3e-06
"('_weakrefset.py', 58, '__iter__')",6,1.88e-05,4.92e-05
"('_weakrefset.py', 81, 'add')",2,9.5e-06,1.77e-05
"('_weakrefset.py', 106, 'remove')",2,7.000000000000001e-06,2.65e-05
"('threading.py', 513, 'is_set')",2,1.2000000000000002e-06,1.2000000000000002e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004903,0.0004903
"('_tensor.py', 429, 'backward')",3,5.22e-05,35.8741952
"('_tensor.py', 906, '__iter__')",4,1.83e-05,0.0001116
"('_tensor.py', 928, '__hash__')",246,5.61e-05,8.850000000000001e-05
"('__init__.py', 78, '_is_compiled')",3,4.000000000000001e-06,7.5e-06
"('__init__.py', 82, 'is_available')",3,9.4e-06,2.15e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.0001,0.0002135
"('__init__.py', 31, '__get__')",24,2.8000000000000003e-05,5.910000000000001e-05
"('module.py', 1188, '_call_impl')",432,0.4184509,24.4258266
"('module.py', 1256, '__getattr__')",580,0.0018650000000000001,0.0018650000000000001
"('linear.py', 113, 'forward')",152,0.0015806000000000001,4.1587416
"('functional.py', 1446, 'relu')",24,0.00015910000000000002,0.44135220000000003
"('functional.py', 1618, 'leaky_relu')",64,0.00044990000000000004,4.2324717000000005
"('functional.py', 2500, 'layer_norm')",24,0.00031340000000000003,1.3746294000000001
"('functional.py', 3264, 'mse_loss')",8,0.0001022,0.0088731
"('_VF.py', 26, '__getattr__')",8,1.6100000000000002e-05,2.57e-05
"('_reduction.py', 7, 'get_enum')",8,1.01e-05,1.01e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001672,0.0001672
"('activation.py', 101, 'forward')",24,0.0001462,0.4414984
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0033957,0.0033957
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.00045640000000000003,0.00045640000000000003
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.1100000000000004e-05,3.1100000000000004e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,4.5e-06,4.5e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001303,0.0001303
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,4.1400000000000003e-05,4.1400000000000003e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.3e-06,2.3e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,4.800000000000001e-06,4.800000000000001e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,4.6e-06,4.6e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002639,0.0002639
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0004486,0.0004486
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,3.16e-05,3.16e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,0.0001045,0.0001045
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0007618000000000001,0.0007618000000000001
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0016422000000000001,0.0016422000000000001
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0032306,0.0032306
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0015447000000000002,0.0015447000000000002
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0015403,0.0015403
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.0003146,0.0003146
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0010599000000000001,0.0010599000000000001
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.8002346,0.8002346
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.004497,0.004497
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.006794100000000001,0.006794100000000001
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.004209500000000001,0.004209500000000001
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.6438282000000001,0.6438282000000001
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,4.1422257,4.1422257
"('~', 0, ""<method 'scatter_reduce_' of 'torch._C._TensorBase' objects>"")",8,1.0308185,1.0308185
"('~', 0, ""<method 'sqrt' of 'torch._C._TensorBase' objects>"")",246,0.0012335,0.0012335
"('~', 0, ""<method 'unbind' of 'torch._C._TensorBase' objects>"")",4,8.340000000000001e-05,8.340000000000001e-05
"('~', 0, ""<method 'view' of 'torch._C._TensorBase' objects>"")",120,0.0034298,0.0034298
"('~', 0, ""<method 'zero_' of 'torch._C._TensorBase' objects>"")",246,0.00027550000000000003,0.00027550000000000003
"('~', 0, '<built-in method torch.concat>')",44,1.1256324,1.1256324
"('~', 0, '<built-in method torch.rand>')",4,0.0831412,0.0831412
"('~', 0, '<built-in method torch.zeros>')",6,0.00017590000000000002,0.00017590000000000002
"('~', 0, '<built-in method torch.is_complex>')",246,0.0001778,0.0001778
"('~', 0, '<built-in method torch.ones_like>')",3,4.4200000000000004e-05,4.4200000000000004e-05
"('~', 0, '<built-in method torch.squeeze>')",8,0.0001899,0.0001899
"('~', 0, '<built-in method torch.broadcast_tensors>')",8,8.33e-05,8.33e-05
"('~', 0, '<built-in method torch.layer_norm>')",24,1.3742226000000002,1.3742226000000002
"('~', 0, '<built-in method torch.relu>')",24,0.44115740000000003,0.44115740000000003
"('~', 0, '<built-in method torch._C._are_functorch_transforms_active>')",3,1.23e-05,1.23e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_exit>')",6,7.41e-05,7.41e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_enter>')",6,0.00016790000000000002,0.00016790000000000002
"('activation.py', 774, 'forward')",32,0.00017580000000000002,0.6442744
"('loss.py', 535, 'forward')",8,4.64e-05,0.0089195
"('container.py', 194, '__iter__')",80,0.0003215,0.0005101
