function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6.1e-06,1.2e-05
"('_collections_abc.py', 664, '__contains__')",8,5.2e-06,1.04e-05
"('functools.py', 404, '__get__')",2,1.3300000000000001e-05,1.52e-05
"('__init__.py', 47, 'create_string_buffer')",2,0.010041000000000001,0.0100426
"('_weakrefset.py', 16, '__init__')",4,5.500000000000001e-06,5.500000000000001e-06
"('_weakrefset.py', 20, '__enter__')",4,1e-05,1.3500000000000001e-05
"('_weakrefset.py', 26, '__exit__')",4,1.11e-05,1.59e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.3e-06,3.3e-06
"('_weakrefset.py', 58, '__iter__')",6,1.9900000000000003e-05,5.4800000000000004e-05
"('_weakrefset.py', 81, 'add')",2,6.900000000000001e-06,1.22e-05
"('_weakrefset.py', 106, 'remove')",2,7.8e-06,2.96e-05
"('threading.py', 513, 'is_set')",2,1.2000000000000002e-06,1.2000000000000002e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004461,0.0004461
"('_tensor.py', 429, 'backward')",3,4.6200000000000005e-05,29.579696700000003
"('_tensor.py', 906, '__iter__')",4,1.62e-05,0.00011470000000000001
"('_tensor.py', 928, '__hash__')",246,3.76e-05,6.0400000000000004e-05
"('__init__.py', 78, '_is_compiled')",3,3.7e-06,6.5000000000000004e-06
"('__init__.py', 82, 'is_available')",3,8.200000000000001e-06,1.9900000000000003e-05
"('functional.py', 45, 'broadcast_tensors')",8,8.170000000000001e-05,0.00018570000000000001
"('__init__.py', 31, '__get__')",24,2.6200000000000003e-05,5.4800000000000004e-05
"('module.py', 1188, '_call_impl')",432,0.3640609,20.4914387
"('module.py', 1256, '__getattr__')",580,0.001626,0.001626
"('linear.py', 113, 'forward')",152,0.0014208,3.5382769
"('functional.py', 1446, 'relu')",24,0.0001441,0.3278421
"('functional.py', 1618, 'leaky_relu')",64,0.0004354,3.2651510000000004
"('functional.py', 2500, 'layer_norm')",24,0.0002949,1.1652567
"('functional.py', 3264, 'mse_loss')",8,9.71e-05,0.0076062000000000005
"('_VF.py', 26, '__getattr__')",8,1.8900000000000002e-05,2.7400000000000002e-05
"('_reduction.py', 7, 'get_enum')",8,8.6e-06,8.6e-06
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001438,0.0001438
"('activation.py', 101, 'forward')",24,0.0001261,0.32796820000000004
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0030941000000000002,0.0030941000000000002
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004172,0.0004172
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,2.86e-05,2.86e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,3.8e-06,3.8e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001319,0.0001319
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,3.5900000000000005e-05,3.5900000000000005e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.2e-06,2.2e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,3.7e-06,3.7e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,5.2e-06,5.2e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002321,0.0002321
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.00038770000000000005,0.00038770000000000005
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.72e-05,2.72e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,7.08e-05,7.08e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0006431000000000001,0.0006431000000000001
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.001544,0.001544
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0026229,0.0026229
