function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,5e-06,8.8e-06
"('_collections_abc.py', 664, '__contains__')",8,4.800000000000001e-06,1.0300000000000001e-05
"('functools.py', 404, '__get__')",2,2.2800000000000002e-05,2.4100000000000003e-05
"('__init__.py', 47, 'create_string_buffer')",2,5.78e-05,6.120000000000001e-05
"('_weakrefset.py', 16, '__init__')",4,3.6000000000000003e-06,3.6000000000000003e-06
"('_weakrefset.py', 20, '__enter__')",4,7.000000000000001e-06,8.8e-06
"('_weakrefset.py', 26, '__exit__')",4,7.100000000000001e-06,9.600000000000001e-06
"('_weakrefset.py', 52, '_commit_removals')",4,1.8000000000000001e-06,1.8000000000000001e-06
"('_weakrefset.py', 58, '__iter__')",6,1.34e-05,3.54e-05
"('_weakrefset.py', 81, 'add')",2,1.29e-05,2.1700000000000002e-05
"('_weakrefset.py', 106, 'remove')",2,6.1e-06,2.16e-05
"('threading.py', 513, 'is_set')",2,8.000000000000001e-07,8.000000000000001e-07
"('_compile.py', 9, 'is_compiling')",336,0.00044360000000000005,0.00044360000000000005
"('_tensor.py', 429, 'backward')",3,4.88e-05,27.820975400000002
"('_tensor.py', 906, '__iter__')",4,1.4900000000000001e-05,0.00011410000000000001
"('_tensor.py', 928, '__hash__')",246,4.9600000000000006e-05,7.66e-05
"('__init__.py', 78, '_is_compiled')",3,3.9e-06,6.8e-06
"('__init__.py', 82, 'is_available')",3,9.9e-06,2.18e-05
"('functional.py', 45, 'broadcast_tensors')",8,8.42e-05,0.0001886
"('__init__.py', 31, '__get__')",24,2.6000000000000002e-05,5.45e-05
"('module.py', 1188, '_call_impl')",432,0.2985457,19.0668528
"('module.py', 1256, '__getattr__')",580,0.0015813000000000001,0.0015813000000000001
"('linear.py', 113, 'forward')",152,0.0013403,3.3945218
"('functional.py', 1446, 'relu')",24,0.0001432,0.3850333
"('functional.py', 1618, 'leaky_relu')",64,0.0003792,3.0117993000000003
"('functional.py', 2500, 'layer_norm')",24,0.0002874,1.1616262000000002
"('functional.py', 3264, 'mse_loss')",8,0.0001054,0.006498500000000001
"('_VF.py', 26, '__getattr__')",8,1.77e-05,2.5200000000000003e-05
"('_reduction.py', 7, 'get_enum')",8,8.000000000000001e-06,8.000000000000001e-06
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001361,0.0001361
"('activation.py', 101, 'forward')",24,0.00013780000000000002,0.38517110000000004
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0030409,0.0030409
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.00039400000000000004,0.00039400000000000004
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,2.85e-05,2.85e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,3.9e-06,3.9e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.00011540000000000001,0.00011540000000000001
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,3.35e-05,3.35e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.7e-06,2.7e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,4.3e-06,4.3e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,5.1e-06,5.1e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002167,0.0002167
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0004293,0.0004293
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.51e-05,2.51e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,7.38e-05,7.38e-05
