function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6e-06,1.2100000000000001e-05
"('_collections_abc.py', 664, '__contains__')",8,5.8e-06,1.4000000000000001e-05
"('functools.py', 404, '__get__')",2,1.32e-05,1.5300000000000003e-05
"('__init__.py', 47, 'create_string_buffer')",2,6.26e-05,6.48e-05
"('_weakrefset.py', 16, '__init__')",4,7.2000000000000005e-06,7.2000000000000005e-06
"('_weakrefset.py', 20, '__enter__')",4,1.3100000000000002e-05,1.67e-05
"('_weakrefset.py', 26, '__exit__')",4,1.3700000000000001e-05,1.95e-05
"('_weakrefset.py', 52, '_commit_removals')",4,4.2000000000000004e-06,4.2000000000000004e-06
"('_weakrefset.py', 58, '__iter__')",6,2.86e-05,7.2e-05
"('_weakrefset.py', 81, 'add')",2,1.36e-05,2.36e-05
"('_weakrefset.py', 106, 'remove')",2,8.900000000000001e-06,3.51e-05
"('threading.py', 513, 'is_set')",2,9.000000000000001e-07,9.000000000000001e-07
"('_compile.py', 9, 'is_compiling')",336,0.0004581,0.0004581
"('_tensor.py', 429, 'backward')",3,6.15e-05,31.879000500000004
"('_tensor.py', 906, '__iter__')",4,2.09e-05,0.0001933
"('_tensor.py', 928, '__hash__')",246,5.7900000000000005e-05,9.16e-05
"('__init__.py', 78, '_is_compiled')",3,7.6e-06,1.1200000000000001e-05
"('__init__.py', 82, 'is_available')",3,1.2600000000000001e-05,3.16e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.00011350000000000001,0.0002345
"('__init__.py', 31, '__get__')",24,2.8700000000000003e-05,5.92e-05
"('module.py', 1188, '_call_impl')",432,0.32508790000000004,21.160279300000003
"('module.py', 1256, '__getattr__')",580,0.0017905000000000002,0.0017905000000000002
"('linear.py', 113, 'forward')",152,0.001476,3.7327950000000003
"('functional.py', 1446, 'relu')",24,0.0001483,0.38850490000000004
"('functional.py', 1618, 'leaky_relu')",64,0.0004066,3.3151623000000003
"('functional.py', 2500, 'layer_norm')",24,0.0003044,1.1885571000000001
"('functional.py', 3264, 'mse_loss')",8,0.00011820000000000001,0.009290600000000001
"('_VF.py', 26, '__getattr__')",8,2.23e-05,3.16e-05
"('_reduction.py', 7, 'get_enum')",8,9.2e-06,9.2e-06
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001499,0.0001499
"('activation.py', 101, 'forward')",24,0.0001462,0.3886511
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0031828000000000004,0.0031828000000000004
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.00042940000000000003,0.00042940000000000003
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.0500000000000003e-05,3.0500000000000003e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,4.2000000000000004e-06,4.2000000000000004e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.00012550000000000001,0.00012550000000000001
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,3.71e-05,3.71e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,5.8e-06,5.8e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,5.500000000000001e-06,5.500000000000001e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,7.8e-06,7.8e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002399,0.0002399
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0004382,0.0004382
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,3.8100000000000005e-05,3.8100000000000005e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,8.060000000000001e-05,8.060000000000001e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0006791000000000001,0.0006791000000000001
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0016144,0.0016144
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0031591,0.0031591
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0014932,0.0014932
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0013462,0.0013462
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.0003018,0.0003018
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0009619,0.0009619
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.7386213,0.7386213
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.0043306,0.0043306
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.006590800000000001,0.006590800000000001
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.0037627000000000003,0.0037627000000000003
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.5605399,0.5605399
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,3.815274,3.815274
"('~', 0, ""<method 'scatter_reduce_' of 'torch._C._TensorBase' objects>"")",8,0.8751217,0.8751217
"('~', 0, ""<method 'sqrt' of 'torch._C._TensorBase' objects>"")",246,0.0011929,0.0011929
"('~', 0, ""<method 'unbind' of 'torch._C._TensorBase' objects>"")",4,0.00015680000000000002,0.00015680000000000002
"('~', 0, ""<method 'view' of 'torch._C._TensorBase' objects>"")",120,0.0031327,0.0031327
"('~', 0, ""<method 'zero_' of 'torch._C._TensorBase' objects>"")",246,0.00030260000000000004,0.00030260000000000004
"('~', 0, '<built-in method torch.concat>')",44,1.037069,1.037069
"('~', 0, '<built-in method torch.rand>')",4,0.0764515,0.0764515
"('~', 0, '<built-in method torch.zeros>')",6,0.0002212,0.0002212
"('~', 0, '<built-in method torch.is_complex>')",246,0.0001718,0.0001718
"('~', 0, '<built-in method torch.ones_like>')",3,5.41e-05,5.41e-05
"('~', 0, '<built-in method torch.squeeze>')",8,0.00020160000000000002,0.00020160000000000002
"('~', 0, '<built-in method torch.broadcast_tensors>')",8,8.520000000000001e-05,8.520000000000001e-05
"('~', 0, '<built-in method torch.layer_norm>')",24,1.1881632,1.1881632
"('~', 0, '<built-in method torch.relu>')",24,0.388322,0.388322
"('~', 0, '<built-in method torch._C._are_functorch_transforms_active>')",3,1.52e-05,1.52e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_exit>')",6,7.180000000000001e-05,7.180000000000001e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_enter>')",6,0.0001968,0.0001968
"('activation.py', 774, 'forward')",32,0.00016600000000000002,0.5479965
"('loss.py', 535, 'forward')",8,4.83e-05,0.0093389
"('container.py', 194, '__iter__')",80,0.00032010000000000003,0.0004968
"('container.py', 202, 'forward')",80,0.16753590000000002,3.5374351
"('container.py', 268, '_get_abs_string_index')",56,0.0005167,0.0007494
"('container.py', 277, '__getitem__')",56,0.00026450000000000003,0.0011246000000000001
"('container.py', 298, '__len__')",112,6.330000000000001e-05,9.45e-05
"('__init__.py', 47, '_make_grads')",3,4.75e-05,0.00010810000000000001
"('__init__.py', 95, '_tensor_or_tensors_to_tuple')",3,4.3e-06,4.3e-06
"('__init__.py', 103, 'backward')",3,7.400000000000001e-05,31.8789373
"('grad_mode.py', 24, 'decorate_context')",3,7.21e-05,0.023157
"('grad_mode.py', 82, 'clone')",3,1.1000000000000001e-05,7.19e-05
"('grad_mode.py', 126, '__init__')",3,5.86e-05,6.09e-05
"('grad_mode.py', 131, '__enter__')",3,3.2000000000000005e-05,5.6300000000000006e-05
"('grad_mode.py', 135, '__exit__')",3,1.3300000000000001e-05,2.78e-05
"('grad_mode.py', 227, '__init__')",6,2.75e-05,3.58e-05
"('profiler.py', 478, '__init__')",6,4.0100000000000006e-05,0.0002613
"('profiler.py', 487, '__enter__')",6,8.61e-05,0.000302
