function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6.4000000000000006e-06,8.400000000000001e-06
"('_collections_abc.py', 664, '__contains__')",8,6.6e-06,1.6000000000000003e-05
"('functools.py', 404, '__get__')",2,1.5100000000000001e-05,1.69e-05
"('__init__.py', 47, 'create_string_buffer')",2,5.8e-05,6.0100000000000004e-05
"('_weakrefset.py', 16, '__init__')",4,6.6e-06,6.6e-06
"('_weakrefset.py', 20, '__enter__')",4,1.83e-05,2.09e-05
"('_weakrefset.py', 26, '__exit__')",4,1.06e-05,1.58e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.8e-06,3.8e-06
"('_weakrefset.py', 58, '__iter__')",6,2.3500000000000002e-05,6.68e-05
"('_weakrefset.py', 81, 'add')",2,5.1e-06,9.800000000000001e-06
"('_weakrefset.py', 106, 'remove')",2,9.5e-06,3.96e-05
"('threading.py', 513, 'is_set')",2,1.0000000000000002e-06,1.0000000000000002e-06
"('_compile.py', 9, 'is_compiling')",336,0.00048590000000000005,0.00048590000000000005
"('_tensor.py', 429, 'backward')",3,9.11e-05,42.6955569
"('_tensor.py', 906, '__iter__')",4,2.5500000000000003e-05,0.0001438
"('_tensor.py', 928, '__hash__')",246,6.46e-05,9.790000000000001e-05
"('__init__.py', 78, '_is_compiled')",3,8.3e-06,1.22e-05
"('__init__.py', 82, 'is_available')",3,1.27e-05,3.5600000000000005e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.00011590000000000001,0.0002504
"('__init__.py', 31, '__get__')",24,3.21e-05,7.1e-05
"('module.py', 1188, '_call_impl')",432,0.446027,22.1118756
"('module.py', 1256, '__getattr__')",580,0.0017601000000000001,0.0017601000000000001
"('linear.py', 113, 'forward')",152,0.0014812,3.9011827
"('functional.py', 1446, 'relu')",24,0.0001764,0.39982730000000005
"('functional.py', 1618, 'leaky_relu')",64,0.0004597,3.1691000000000003
"('functional.py', 2500, 'layer_norm')",24,0.0003399,1.1666489
"('functional.py', 3264, 'mse_loss')",8,0.0001263,0.010173100000000001
"('_VF.py', 26, '__getattr__')",8,2.54e-05,3.5300000000000004e-05
"('_reduction.py', 7, 'get_enum')",8,1.0300000000000001e-05,1.0300000000000001e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001542,0.0001542
"('activation.py', 101, 'forward')",24,0.00016260000000000002,0.3999899
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0033494,0.0033494
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004601,0.0004601
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.8900000000000004e-05,3.8900000000000004e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,8.6e-06,8.6e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001486,0.0001486
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,3.6400000000000004e-05,3.6400000000000004e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.3e-06,2.3e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,6.8e-06,6.8e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,1.0700000000000001e-05,1.0700000000000001e-05
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002506,0.0002506
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0005478000000000001,0.0005478000000000001
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.82e-05,2.82e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,0.00011190000000000001,0.00011190000000000001
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0007631000000000001,0.0007631000000000001
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0016663000000000001,0.0016663000000000001
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0038179000000000004,0.0038179000000000004
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0018497000000000001,0.0018497000000000001
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0017021,0.0017021
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.0002832,0.0002832
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0009653000000000001,0.0009653000000000001
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.7963102000000001,0.7963102000000001
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.004534600000000001,0.004534600000000001
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.0084136,0.0084136
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.0036364,0.0036364
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.6139836000000001,0.6139836000000001
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,3.5892496,3.5892496
"('~', 0, ""<method 'scatter_reduce_' of 'torch._C._TensorBase' objects>"")",8,0.7475609000000001,0.7475609000000001
"('~', 0, ""<method 'sqrt' of 'torch._C._TensorBase' objects>"")",246,0.0015963000000000001,0.0015963000000000001
"('~', 0, ""<method 'unbind' of 'torch._C._TensorBase' objects>"")",4,0.0001034,0.0001034
"('~', 0, ""<method 'view' of 'torch._C._TensorBase' objects>"")",120,0.0033208,0.0033208
"('~', 0, ""<method 'zero_' of 'torch._C._TensorBase' objects>"")",246,0.0004889,0.0004889
"('~', 0, '<built-in method torch.concat>')",44,1.0839239,1.0839239
"('~', 0, '<built-in method torch.rand>')",4,0.0883584,0.0883584
"('~', 0, '<built-in method torch.zeros>')",6,0.00024160000000000002,0.00024160000000000002
"('~', 0, '<built-in method torch.is_complex>')",246,0.0002079,0.0002079
"('~', 0, '<built-in method torch.ones_like>')",3,6.83e-05,6.83e-05
"('~', 0, '<built-in method torch.squeeze>')",8,0.0002144,0.0002144
"('~', 0, '<built-in method torch.broadcast_tensors>')",8,9.06e-05,9.06e-05
"('~', 0, '<built-in method torch.layer_norm>')",24,1.1662087,1.1662087
"('~', 0, '<built-in method torch.relu>')",24,0.3996019,0.3996019
"('~', 0, '<built-in method torch._C._are_functorch_transforms_active>')",3,3.7300000000000005e-05,3.7300000000000005e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_exit>')",6,8.03e-05,8.03e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_enter>')",6,0.00022970000000000003,0.00022970000000000003
"('activation.py', 774, 'forward')",32,0.0001744,0.6436765
"('loss.py', 535, 'forward')",8,5.33e-05,0.0102264
"('container.py', 194, '__iter__')",80,0.0003423,0.0005334000000000001
"('container.py', 202, 'forward')",80,0.22448790000000002,3.8515648000000002
"('container.py', 268, '_get_abs_string_index')",56,0.000573,0.0008286000000000001
"('container.py', 277, '__getitem__')",56,0.000328,0.0012747000000000001
"('container.py', 298, '__len__')",112,6.720000000000001e-05,9.620000000000001e-05
"('__init__.py', 47, '_make_grads')",3,7.83e-05,0.00015470000000000002
"('__init__.py', 95, '_tensor_or_tensors_to_tuple')",3,1e-05,1e-05
"('__init__.py', 103, 'backward')",3,0.0001221,42.6954578
"('grad_mode.py', 24, 'decorate_context')",3,6.6e-05,0.029083900000000003
"('grad_mode.py', 82, 'clone')",3,1.1000000000000001e-05,6.670000000000001e-05
"('grad_mode.py', 126, '__init__')",3,5.27e-05,5.5700000000000005e-05
"('grad_mode.py', 131, '__enter__')",3,2.64e-05,5.05e-05
