function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,7.100000000000001e-06,9.100000000000001e-06
"('_collections_abc.py', 664, '__contains__')",8,5.9e-06,1.4000000000000001e-05
"('functools.py', 404, '__get__')",2,2.12e-05,2.3400000000000003e-05
"('__init__.py', 47, 'create_string_buffer')",2,5.6300000000000006e-05,5.8800000000000006e-05
"('_weakrefset.py', 16, '__init__')",4,1.08e-05,1.08e-05
"('_weakrefset.py', 20, '__enter__')",4,1.3500000000000001e-05,1.67e-05
"('_weakrefset.py', 26, '__exit__')",4,1.2600000000000001e-05,1.8200000000000002e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.9e-06,3.9e-06
"('_weakrefset.py', 58, '__iter__')",6,3.6400000000000004e-05,8.21e-05
"('_weakrefset.py', 81, 'add')",2,8.400000000000001e-06,1.5300000000000003e-05
"('_weakrefset.py', 106, 'remove')",2,9.2e-06,4.2600000000000005e-05
"('threading.py', 513, 'is_set')",2,1.1e-06,1.1e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004514,0.0004514
"('_tensor.py', 429, 'backward')",3,6.14e-05,30.2230412
"('_tensor.py', 906, '__iter__')",4,2.23e-05,0.00013560000000000002
"('_tensor.py', 928, '__hash__')",246,4.5100000000000005e-05,7.08e-05
"('__init__.py', 78, '_is_compiled')",3,5e-06,8.7e-06
"('__init__.py', 82, 'is_available')",3,1.08e-05,2.5900000000000003e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.00010700000000000001,0.0002412
"('__init__.py', 31, '__get__')",24,3.33e-05,6.43e-05
"('module.py', 1188, '_call_impl')",432,0.3620897,20.274691200000003
"('module.py', 1256, '__getattr__')",580,0.0016848000000000002,0.0016848000000000002
"('linear.py', 113, 'forward')",152,0.0014381,3.6059981000000003
"('functional.py', 1446, 'relu')",24,0.00016800000000000002,0.3795348
"('functional.py', 1618, 'leaky_relu')",64,0.0004047,3.0702753
"('functional.py', 2500, 'layer_norm')",24,0.0003177,1.1863608
"('functional.py', 3264, 'mse_loss')",8,0.0001189,0.0100838
"('_VF.py', 26, '__getattr__')",8,3.16e-05,4.1200000000000005e-05
"('_reduction.py', 7, 'get_enum')",8,1e-05,1e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001528,0.0001528
"('activation.py', 101, 'forward')",24,0.0001598,0.37969460000000005
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0033361000000000003,0.0033361000000000003
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004149,0.0004149
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.1e-05,3.1e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,3.9e-06,3.9e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001249,0.0001249
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,3.72e-05,3.72e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.4000000000000003e-06,2.4000000000000003e-06
