function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,8.200000000000001e-06,1.06e-05
"('_collections_abc.py', 664, '__contains__')",8,6.200000000000001e-06,1.5100000000000001e-05
"('functools.py', 404, '__get__')",2,1.76e-05,1.9600000000000002e-05
"('__init__.py', 47, 'create_string_buffer')",2,5.0100000000000005e-05,5.2900000000000005e-05
"('_weakrefset.py', 16, '__init__')",4,5.3e-06,5.3e-06
"('_weakrefset.py', 20, '__enter__')",4,9.2e-06,1.1700000000000001e-05
"('_weakrefset.py', 26, '__exit__')",4,8.900000000000001e-06,1.3100000000000002e-05
"('_weakrefset.py', 52, '_commit_removals')",4,2.9e-06,2.9e-06
"('_weakrefset.py', 58, '__iter__')",6,2.01e-05,5.02e-05
"('_weakrefset.py', 81, 'add')",2,7.100000000000001e-06,1.6800000000000002e-05
"('_weakrefset.py', 106, 'remove')",2,1.02e-05,3.15e-05
"('threading.py', 513, 'is_set')",2,1.1e-06,1.1e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004779,0.0004779
"('_tensor.py', 429, 'backward')",3,5.9900000000000006e-05,35.328140000000005
"('_tensor.py', 906, '__iter__')",4,2.1000000000000002e-05,0.000134
"('_tensor.py', 928, '__hash__')",246,5.13e-05,7.64e-05
"('__init__.py', 78, '_is_compiled')",3,6e-06,9.100000000000001e-06
"('__init__.py', 82, 'is_available')",3,1.06e-05,2.8700000000000003e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.00012350000000000002,0.0002613
"('__init__.py', 31, '__get__')",24,3.24e-05,6.670000000000001e-05
"('module.py', 1188, '_call_impl')",432,0.3596498,21.653460000000003
"('module.py', 1256, '__getattr__')",580,0.0017610000000000002,0.0017610000000000002
"('linear.py', 113, 'forward')",152,0.0014729,3.8845961000000004
"('functional.py', 1446, 'relu')",24,0.0001776,0.4095264
"('functional.py', 1618, 'leaky_relu')",64,0.00045230000000000004,3.2087385000000004
"('functional.py', 2500, 'layer_norm')",24,0.000355,1.3204918
"('functional.py', 3264, 'mse_loss')",8,0.0001299,0.009138
"('_VF.py', 26, '__getattr__')",8,2.85e-05,3.8900000000000004e-05
"('_reduction.py', 7, 'get_enum')",8,1.11e-05,1.11e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.00015000000000000001,0.00015000000000000001
"('activation.py', 101, 'forward')",24,0.0001633,0.40968970000000005
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0033029,0.0033029
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.00043180000000000003,0.00043180000000000003
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.43e-05,3.43e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,5.3e-06,5.3e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001314,0.0001314
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,3.86e-05,3.86e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.6e-06,2.6e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,5.9e-06,5.9e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,9e-06,9e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002413,0.0002413
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0004598,0.0004598
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,3.3600000000000004e-05,3.3600000000000004e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,7.950000000000001e-05,7.950000000000001e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0006822,0.0006822
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0016287,0.0016287
