function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6.7e-06,9.100000000000001e-06
"('_collections_abc.py', 664, '__contains__')",8,6e-06,1.3000000000000001e-05
"('functools.py', 404, '__get__')",2,2.54e-05,2.9800000000000003e-05
"('__init__.py', 47, 'create_string_buffer')",2,5.3500000000000006e-05,5.6000000000000006e-05
"('_weakrefset.py', 16, '__init__')",4,6.4000000000000006e-06,6.4000000000000006e-06
"('_weakrefset.py', 20, '__enter__')",4,1.11e-05,1.3300000000000001e-05
"('_weakrefset.py', 26, '__exit__')",4,1.0300000000000001e-05,1.4700000000000002e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.5000000000000004e-06,3.5000000000000004e-06
"('_weakrefset.py', 58, '__iter__')",6,1.9200000000000003e-05,5.36e-05
"('_weakrefset.py', 81, 'add')",2,8.6e-06,1.6000000000000003e-05
"('_weakrefset.py', 106, 'remove')",2,8.3e-06,3.03e-05
"('threading.py', 513, 'is_set')",2,1.7e-06,1.7e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004961000000000001,0.0004961000000000001
"('_tensor.py', 429, 'backward')",3,5.7400000000000006e-05,36.2956961
"('_tensor.py', 906, '__iter__')",4,2.22e-05,0.0001237
"('_tensor.py', 928, '__hash__')",246,5.89e-05,9.530000000000001e-05
"('__init__.py', 78, '_is_compiled')",3,4.9000000000000005e-06,8.7e-06
"('__init__.py', 82, 'is_available')",3,1.08e-05,2.5300000000000002e-05
"('functional.py', 45, 'broadcast_tensors')",8,9.98e-05,0.00021850000000000003
"('__init__.py', 31, '__get__')",24,2.9100000000000003e-05,6.26e-05
"('module.py', 1188, '_call_impl')",432,0.5034354,25.006753600000003
"('module.py', 1256, '__getattr__')",580,0.0019010000000000001,0.0019010000000000001
"('linear.py', 113, 'forward')",152,0.0015833000000000002,4.1822434
"('functional.py', 1446, 'relu')",24,0.0001471,0.422018
"('functional.py', 1618, 'leaky_relu')",64,0.0004423,4.2682712
"('functional.py', 2500, 'layer_norm')",24,0.00030720000000000004,1.4607093
"('functional.py', 3264, 'mse_loss')",8,0.0001089,0.0107049
"('_VF.py', 26, '__getattr__')",8,1.3700000000000001e-05,2.2700000000000003e-05
"('_reduction.py', 7, 'get_enum')",8,1.02e-05,1.02e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.000172,0.000172
"('activation.py', 101, 'forward')",24,0.00014920000000000002,0.4221672
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0035848000000000004,0.0035848000000000004
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004647,0.0004647
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.35e-05,3.35e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,4.2000000000000004e-06,4.2000000000000004e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.00013450000000000002,0.00013450000000000002
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,3.97e-05,3.97e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.7e-06,2.7e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,5e-06,5e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,5.8e-06,5.8e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.00027990000000000003,0.00027990000000000003
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0005051000000000001,0.0005051000000000001
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,4.39e-05,4.39e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,8.230000000000001e-05,8.230000000000001e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0007492,0.0007492
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0017129,0.0017129
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0035175000000000002,0.0035175000000000002
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0018963,0.0018963
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.001515,0.001515
