function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,6.900000000000001e-06,8.900000000000001e-06
"('_collections_abc.py', 664, '__contains__')",8,6.1e-06,1.3000000000000001e-05
"('functools.py', 404, '__get__')",2,1.3300000000000001e-05,1.52e-05
"('__init__.py', 47, 'create_string_buffer')",2,0.0111593,0.011161500000000001
"('_weakrefset.py', 16, '__init__')",4,5.3e-06,5.3e-06
"('_weakrefset.py', 20, '__enter__')",4,1.0500000000000001e-05,1.34e-05
"('_weakrefset.py', 26, '__exit__')",4,9.9e-06,1.58e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.4e-06,3.4e-06
"('_weakrefset.py', 58, '__iter__')",6,2.19e-05,5.64e-05
"('_weakrefset.py', 81, 'add')",2,6.200000000000001e-06,1.22e-05
"('_weakrefset.py', 106, 'remove')",2,7.4e-06,2.93e-05
"('threading.py', 513, 'is_set')",2,1.1e-06,1.1e-06
"('_compile.py', 9, 'is_compiling')",336,0.00048390000000000005,0.00048390000000000005
"('_tensor.py', 429, 'backward')",3,5.31e-05,37.2611666
"('_tensor.py', 906, '__iter__')",4,1.91e-05,0.0001243
"('_tensor.py', 928, '__hash__')",246,6.38e-05,0.0001004
"('__init__.py', 78, '_is_compiled')",3,3.5000000000000004e-06,6.6e-06
"('__init__.py', 82, 'is_available')",3,1.02e-05,2.2000000000000003e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.00011140000000000001,0.0004175
"('__init__.py', 31, '__get__')",24,3.0200000000000002e-05,6.54e-05
"('module.py', 1188, '_call_impl')",432,0.5052324,25.3864638
"('module.py', 1256, '__getattr__')",580,0.0019556,0.0019556
"('linear.py', 113, 'forward')",152,0.0015587,4.1908225
"('functional.py', 1446, 'relu')",24,0.0001611,0.45480770000000004
"('functional.py', 1618, 'leaky_relu')",64,0.00044800000000000005,4.3354292
"('functional.py', 2500, 'layer_norm')",24,0.0003216,1.5009684
"('functional.py', 3264, 'mse_loss')",8,0.0001166,0.0103239
"('_VF.py', 26, '__getattr__')",8,1.86e-05,2.78e-05
"('_reduction.py', 7, 'get_enum')",8,1.11e-05,1.11e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001616,0.0001616
"('activation.py', 101, 'forward')",24,0.00015780000000000001,0.4549655
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0034451000000000004,0.0034451000000000004
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004596,0.0004596
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.52e-05,3.52e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,5.4e-06,5.4e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001448,0.0001448
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,4.44e-05,4.44e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,3e-06,3e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,6.200000000000001e-06,6.200000000000001e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,5.2e-06,5.2e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002609,0.0002609
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0005368,0.0005368
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.96e-05,2.96e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,8.87e-05,8.87e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0007408,0.0007408
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0017232,0.0017232
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0036371000000000003,0.0036371000000000003
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.001842,0.001842
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0015478,0.0015478
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.0003278,0.0003278
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0010401,0.0010401
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.8625099,0.8625099
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.004619300000000001,0.004619300000000001
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.0072995,0.0072995
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.0043514,0.0043514
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.671798,0.671798
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,3.9523938000000003,3.9523938000000003
"('~', 0, ""<method 'scatter_reduce_' of 'torch._C._TensorBase' objects>"")",8,0.9644670000000001,0.9644670000000001
"('~', 0, ""<method 'sqrt' of 'torch._C._TensorBase' objects>"")",246,0.0015135,0.0015135
"('~', 0, ""<method 'unbind' of 'torch._C._TensorBase' objects>"")",4,9.39e-05,9.39e-05
"('~', 0, ""<method 'view' of 'torch._C._TensorBase' objects>"")",120,0.0035296000000000004,0.0035296000000000004
"('~', 0, ""<method 'zero_' of 'torch._C._TensorBase' objects>"")",246,0.0003567,0.0003567
"('~', 0, '<built-in method torch.concat>')",44,1.2960090000000002,1.2960090000000002
"('~', 0, '<built-in method torch.rand>')",4,0.08520910000000001,0.08520910000000001
"('~', 0, '<built-in method torch.zeros>')",6,0.0001819,0.0001819
"('~', 0, '<built-in method torch.is_complex>')",246,0.0002086,0.0002086
"('~', 0, '<built-in method torch.ones_like>')",3,4.78e-05,4.78e-05
"('~', 0, '<built-in method torch.squeeze>')",8,0.0002178,0.0002178
"('~', 0, '<built-in method torch.broadcast_tensors>')",8,0.0002729,0.0002729
"('~', 0, '<built-in method torch.layer_norm>')",24,1.5005448000000001,1.5005448000000001
"('~', 0, '<built-in method torch.relu>')",24,0.45460860000000003,0.45460860000000003
"('~', 0, '<built-in method torch._C._are_functorch_transforms_active>')",3,1.29e-05,1.29e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_exit>')",6,9.080000000000001e-05,9.080000000000001e-05
