function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,7.6e-06,1.06e-05
"('_collections_abc.py', 664, '__contains__')",8,4.800000000000001e-06,1e-05
"('functools.py', 404, '__get__')",2,1.83e-05,2.0300000000000002e-05
"('__init__.py', 47, 'create_string_buffer')",2,7.42e-05,7.65e-05
"('_weakrefset.py', 16, '__init__')",4,5e-06,5e-06
"('_weakrefset.py', 20, '__enter__')",4,1.09e-05,1.3100000000000002e-05
"('_weakrefset.py', 26, '__exit__')",4,1.0700000000000001e-05,1.4900000000000001e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3e-06,3e-06
"('_weakrefset.py', 58, '__iter__')",6,1.9200000000000003e-05,5.22e-05
"('_weakrefset.py', 81, 'add')",2,1.02e-05,1.8e-05
"('_weakrefset.py', 106, 'remove')",2,7.8e-06,3.32e-05
"('threading.py', 513, 'is_set')",2,1.3e-06,1.3e-06
"('_compile.py', 9, 'is_compiling')",336,0.00047660000000000004,0.00047660000000000004
"('_tensor.py', 429, 'backward')",3,5.92e-05,36.0355699
"('_tensor.py', 906, '__iter__')",4,1.45e-05,9.910000000000001e-05
"('_tensor.py', 928, '__hash__')",246,6.15e-05,9.680000000000001e-05
"('__init__.py', 78, '_is_compiled')",3,6e-06,9.7e-06
"('__init__.py', 82, 'is_available')",3,1.15e-05,2.7400000000000002e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.0001078,0.0002243
"('__init__.py', 31, '__get__')",24,3.1e-05,6.3e-05
"('module.py', 1188, '_call_impl')",432,0.4279739,24.5241332
"('module.py', 1256, '__getattr__')",580,0.0019195000000000002,0.0019195000000000002
"('linear.py', 113, 'forward')",152,0.0016255000000000002,4.1881786000000005
"('functional.py', 1446, 'relu')",24,0.00015020000000000002,0.43826970000000004
"('functional.py', 1618, 'leaky_relu')",64,0.00047190000000000003,4.295196000000001
"('functional.py', 2500, 'layer_norm')",24,0.00033390000000000004,1.3564383
"('functional.py', 3264, 'mse_loss')",8,0.0001088,0.0090484
"('_VF.py', 26, '__getattr__')",8,1.45e-05,2.4200000000000002e-05
"('_reduction.py', 7, 'get_enum')",8,9.7e-06,9.7e-06
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001642,0.0001642
"('activation.py', 101, 'forward')",24,0.0001574,0.4384271
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0034475,0.0034475
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.0004642,0.0004642
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.2000000000000005e-05,3.2000000000000005e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,5.1e-06,5.1e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.00014700000000000002,0.00014700000000000002
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,4.1400000000000003e-05,4.1400000000000003e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.5e-06,2.5e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,4.9000000000000005e-06,4.9000000000000005e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,6.200000000000001e-06,6.200000000000001e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002721,0.0002721
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0004738,0.0004738
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.86e-05,2.86e-05
