function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,8.000000000000001e-06,1.1000000000000001e-05
"('_collections_abc.py', 664, '__contains__')",8,5.9e-06,1.2400000000000002e-05
"('functools.py', 404, '__get__')",2,1.94e-05,2.15e-05
"('__init__.py', 47, 'create_string_buffer')",2,6.76e-05,6.98e-05
"('_weakrefset.py', 16, '__init__')",4,5.600000000000001e-06,5.600000000000001e-06
"('_weakrefset.py', 20, '__enter__')",4,1.16e-05,1.3800000000000002e-05
"('_weakrefset.py', 26, '__exit__')",4,9.9e-06,1.45e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.4e-06,3.4e-06
"('_weakrefset.py', 58, '__iter__')",6,2.02e-05,5.41e-05
"('_weakrefset.py', 81, 'add')",2,1.09e-05,2e-05
"('_weakrefset.py', 106, 'remove')",2,9.100000000000001e-06,3.08e-05
"('threading.py', 513, 'is_set')",2,1.2000000000000002e-06,1.2000000000000002e-06
"('_compile.py', 9, 'is_compiling')",336,0.00047860000000000003,0.00047860000000000003
"('_tensor.py', 429, 'backward')",3,5.7600000000000004e-05,35.8033774
"('_tensor.py', 906, '__iter__')",4,1.84e-05,0.00011630000000000001
"('_tensor.py', 928, '__hash__')",246,6.1000000000000005e-05,9.56e-05
"('__init__.py', 78, '_is_compiled')",3,3.3e-06,6.5000000000000004e-06
"('__init__.py', 82, 'is_available')",3,8.400000000000001e-06,2.02e-05
"('functional.py', 45, 'broadcast_tensors')",8,9.910000000000001e-05,0.0002146
"('__init__.py', 31, '__get__')",24,3.16e-05,6.49e-05
"('module.py', 1188, '_call_impl')",432,0.4882618,24.59873
"('module.py', 1256, '__getattr__')",580,0.0019018000000000001,0.0019018000000000001
"('linear.py', 113, 'forward')",152,0.0015425,4.0598593
"('functional.py', 1446, 'relu')",24,0.0001564,0.43088960000000004
"('functional.py', 1618, 'leaky_relu')",64,0.00043410000000000003,4.195137600000001
"('functional.py', 2500, 'layer_norm')",24,0.00032070000000000004,1.3810135000000001
"('functional.py', 3264, 'mse_loss')",8,0.00011260000000000001,0.009564300000000001
"('_VF.py', 26, '__getattr__')",8,1.46e-05,2.4200000000000002e-05
"('_reduction.py', 7, 'get_enum')",8,9.800000000000001e-06,9.800000000000001e-06
"('_jit_internal.py', 1082, 'is_scripting')",483,0.0001577,0.0001577
"('activation.py', 101, 'forward')",24,0.00016810000000000002,0.43105770000000004
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0034035000000000003,0.0034035000000000003
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.00046790000000000004,0.00046790000000000004
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.33e-05,3.33e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,5.2e-06,5.2e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001307,0.0001307
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,4.0100000000000006e-05,4.0100000000000006e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.8000000000000003e-06,2.8000000000000003e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,5e-06,5e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,5.3e-06,5.3e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002834,0.0002834
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.0004737,0.0004737
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,2.97e-05,2.97e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,8.25e-05,8.25e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0007325000000000001,0.0007325000000000001
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0016502,0.0016502
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0034068,0.0034068
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0016456,0.0016456
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0014673000000000002,0.0014673000000000002
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.0003411,0.0003411
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0010516,0.0010516
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.8144131,0.8144131
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.0047462,0.0047462
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.0070197,0.0070197
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.004155,0.004155
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.6535719000000001,0.6535719000000001
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,3.7692954000000003,3.7692954000000003
"('~', 0, ""<method 'scatter_reduce_' of 'torch._C._TensorBase' objects>"")",8,0.9297403000000001,0.9297403000000001
"('~', 0, ""<method 'sqrt' of 'torch._C._TensorBase' objects>"")",246,0.0013354,0.0013354
"('~', 0, ""<method 'unbind' of 'torch._C._TensorBase' objects>"")",4,8.740000000000001e-05,8.740000000000001e-05
"('~', 0, ""<method 'view' of 'torch._C._TensorBase' objects>"")",120,0.0035978000000000004,0.0035978000000000004
"('~', 0, ""<method 'zero_' of 'torch._C._TensorBase' objects>"")",246,0.0003085,0.0003085
"('~', 0, '<built-in method torch.concat>')",44,1.2399676000000002,1.2399676000000002
"('~', 0, '<built-in method torch.rand>')",4,0.08302380000000001,0.08302380000000001
"('~', 0, '<built-in method torch.zeros>')",6,0.000164,0.000164
"('~', 0, '<built-in method torch.is_complex>')",246,0.00018600000000000002,0.00018600000000000002
"('~', 0, '<built-in method torch.ones_like>')",3,4.69e-05,4.69e-05
"('~', 0, '<built-in method torch.squeeze>')",8,0.00019380000000000002,0.00019380000000000002
"('~', 0, '<built-in method torch.broadcast_tensors>')",8,8.61e-05,8.61e-05
"('~', 0, '<built-in method torch.layer_norm>')",24,1.3805946,1.3805946
"('~', 0, '<built-in method torch.relu>')",24,0.4306971,0.4306971
"('~', 0, '<built-in method torch._C._are_functorch_transforms_active>')",3,1.3500000000000001e-05,1.3500000000000001e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_exit>')",6,7.110000000000001e-05,7.110000000000001e-05
"('~', 0, '<built-in method torch._ops.profiler._record_function_enter>')",6,0.00015360000000000002,0.00015360000000000002
"('activation.py', 774, 'forward')",32,0.0001707,0.6208373
"('loss.py', 535, 'forward')",8,4.38e-05,0.009608100000000001
"('container.py', 194, '__iter__')",80,0.0002971,0.00048550000000000004
"('container.py', 202, 'forward')",80,0.2453468,3.9672701000000004
